date, pm25, pm10, no2
2017/11/26, 29, 12, 13
2017/11/27, 28, 15, 21
2017/11/28, 32, 26, 24
2017/11/29, 63, 11, 23
2017/11/30, 28, 26, 25
2017/12/1, 72, 35, 21
2017/12/2, 92, 34, 17
2017/12/3, 90, 30, 23
2017/12/4, 68, 32, 23
2017/12/5, 70, 27, 18
2017/12/6, 63, 17, 12
2017/12/7, 47, 14, 12
2017/12/8, 26, 17, 15
2017/12/9, 38, 14, 9
2017/12/10, 36, 12, 15
2017/12/11, 37, 17, 22
2017/12/12, 44, 12, 14
2017/12/13, 32, 12, 14
2017/12/14, 23, 18, 20
2017/12/15, 48, 14, 19
2017/12/16, 33, 19, 19
2017/12/17, 50, 24, 14
2017/12/18, 48, 29, 27
2017/12/19, 65, 22, 24
2017/12/20, 61, 23, 20
2017/12/21, 65, 25, 18
2017/12/22, 69, 19, 11
2017/12/23, 54, 9, 6
2017/12/24, 22, 8, 6
2017/12/25, 18, 10, 9
2017/12/26, 23, 9, 12
2017/12/27, 17, 15, 15
2017/12/28, 30, 14, 15
2017/12/29, 38, 22, 8
2017/12/30, 47, , 
2017/7/1, 46, 13, 8
2017/7/2, 35, 16, 13
2017/7/3, 34, 20, 7
2017/7/4, 52, 27, 16
2017/7/5, 59, 21, 13
2017/7/6, 48, 27, 10
2017/7/7, 65, 20, 8
2017/7/8, 51, 10, 5
2017/7/9, 27, 15, 10
2017/7/10, 35, 13, 5
2017/7/11, 32, 9, 7
2017/7/12, 25, 12, 10
2017/7/13, 25, 15, 12
2017/7/14, 37, 13, 9
2017/7/15, 32, 14, 5
2017/7/16, 42, 9, 8
2017/7/17, 24, 14, 9
2017/7/18, 35, 23, 14
2017/7/19, 51, 15, 9
2017/7/20, 37, 13, 5
2017/7/21, 27, 19, 10
2017/7/22, 28, 9, 5
2017/7/23, 24, 7, 8
2017/7/24, 21, 9, 10
2017/7/25, 21, 13, 11
2017/7/26, 37, 13, 5
2017/7/27, 33, 14, 6
2017/7/28, 31, 11, 7
2017/7/29, 27, 8, 5
2017/7/30, 18, 10, 7
2017/7/31, 21, 18, 17
2017/8/1, 31, 15, 18
2017/8/2, 28, 12, 10
2017/8/3, 25, 10, 
2017/8/4, 16, 9, 
2017/8/5, 24, 15, 
2017/8/6, 41, 14, 
2017/8/7, 28, 22, 
2017/8/8, 60, 12, 
2017/8/9, 32, 17, 17
2017/8/10, 47, 17, 13
