date, no2, so2
2017/6/10, 15, 
2017/6/11, 5, 1
2017/6/12, 8, 
2017/6/13, 21, 
2017/6/14, 12, 
2017/6/15, 12, 
2017/6/16, 13, 
2017/6/17, 4, 
2017/6/18, 2, 
2017/6/19, 8, 1
2017/6/20, 11, 
2017/6/21, 13, 
2017/6/22, 14, 
2017/6/23, 15, 
2017/6/24, 24, 
2017/6/25, 22, 
2017/6/26, 7, 
2017/6/27, 10, 
2017/6/28, 2, 
2017/6/29, 9, 
2017/6/30, 5, 
2017/1/2, 9, 
2017/1/3, 4, 1
2017/1/4, 12, 
2017/1/5, 3, 
2017/1/6, 1, 
2017/1/7, 2, 
2017/1/8, 4, 
2017/1/9, 8, 4
2017/1/10, 5, 6
2017/1/11, 10, 2
2017/1/12, 12, 1
2017/1/13, 2, 
2017/1/14, 4, 
2017/1/17, 6, 6
2017/1/18, 4, 4
2017/1/19, 4, 5
2017/1/20, 15, 3
2017/1/21, 12, 1
2017/1/22, 11, 2
2017/1/23, 19, 2
2017/1/24, 21, 3
2017/1/25, 9, 7
2017/1/26, 10, 4
2017/1/27, 16, 2
2017/1/28, 14, 1
2017/1/29, 17, 2
2017/1/30, 21, 1
2017/1/31, 8, 1
2017/2/1, 4, 1
2017/2/2, 2, 1
2017/2/3, 2, 1
2017/2/4, 6, 1
2017/2/5, 3, 1
2017/2/6, 4, 1
2017/2/7, 4, 1
2017/2/8, 8, 3
2017/2/9, 6, 2
2017/2/10, 15, 2
2017/2/11, 14, 1
2017/2/12, 16, 1
2017/2/13, 11, 3
2017/2/14, 16, 2
2017/2/15, 22, 1
2017/2/16, 26, 1
2017/2/17, 18, 1
2017/2/18, 10, 1
2017/2/19, 5, 2
2017/2/20, 14, 1
2017/2/21, 20, 1
2017/2/22, 17, 1
2017/2/23, 6, 1
2017/2/24, 3, 1
2017/2/25, 5, 1
2017/2/26, 15, 1
2017/2/27, 18, 1
2017/2/28, 2, 1
2017/3/1, 8, 1
2017/3/2, 14, 1
2017/3/3, 22, 1
2017/3/4, 5, 1
2017/3/5, 7, 1
2017/3/6, 9, 1
2017/3/7, 6, 1
2017/3/8, 3, 1
2017/3/9, 10, 1
2017/3/10, 5, 1
2017/3/11, 3, 1
2017/3/12, 3, 1
2017/3/13, 6, 1
2017/3/14, 6, 1
2017/3/15, 7, 1
2017/3/16, 10, 1
2017/3/17, 16, 1
2017/3/18, 14, 1
2017/3/19, 11, 1
2017/3/20, 16, 2
2017/3/21, 23, 1
2017/3/22, 20, 1
2017/3/23, 19, 1
2017/3/24, 20, 1
2017/3/25, 15, 1
2017/3/26, 7, 2
2017/3/27, 6, 3
2017/3/28, 9, 2
2017/3/29, 14, 1
2017/3/30, 6, 1
2017/3/31, 5, 
2020/1/13, , 2
2019/10/13, , 
2019/11/8, , 
2019/11/9, , 
2019/11/10, , 
2019/11/11, , 
2019/11/12, , 
2019/12/22, , 3
2019/9/8, , 
2019/4/28, , 2
2018/12/31, , 1
2019/1/13, , 2
2018/10/2, , 3
2018/10/10, , 5
2018/10/20, , 3
2018/11/6, , 3
2018/11/7, , 3
2018/11/8, , 3
2018/11/9, , 3
2018/11/10, , 3
2018/11/11, , 3
2018/9/17, , 2
2018/4/2, , 1
2017/12/31, , 1
2018/2/25, , 4
2017/11/13, , 1
2017/11/14, , 3
2017/11/15, , 3
2017/11/22, , 
2017/9/10, , 
2017/4/2, , 1
2017/5/14, , 1
2017/5/28, , 1
2017/1/1, , 1
2017/1/16, , 5
