date, pm25, pm10, no2
2018/6/18, 37, 23, 11
2018/6/19, 28, 8, 14
2018/6/20, 24, 17, 15
2018/6/21, 27, 12, 8
2018/6/22, 25, 9, 
2018/6/23, 24, 12, 
2018/6/24, 22, 18, 
2018/6/25, 22, 21, 
2018/6/26, 31, 9, 
2018/6/27, 23, 13, 
2018/6/28, 25, 8, 
2018/6/29, 20, 11, 
2018/6/30, 20, 17, 
2018/1/1, 37, 14, 32
2018/1/2, 41, 8, 19
2018/1/3, 29, 7, 23
2018/1/4, 19, 8, 23
2018/1/5, 15, 7, 14
2018/1/6, 18, 6, 9
2018/1/7, 16, 14, 9
2018/1/8, 27, 8, 13
2018/1/9, 20, 15, 25
2018/1/10, 32, 11, 27
2018/1/11, 28, , 13
2018/1/15, 31, 18, 10
2018/1/16, 23, 14, 10
2018/1/17, 29, 15, 9
2018/1/18, 33, 16, 26
2018/1/19, 41, 13, 16
2018/1/20, 36, 11, 13
2018/1/21, 35, 11, 9
2018/1/22, 28, 17, 29
2018/1/23, 50, 16, 36
2018/1/24, 45, 12, 22
2018/1/25, 36, 19, 29
2018/1/26, 54, 13, 17
2018/1/27, 38, 11, 21
2018/1/28, 33, 14, 36
2018/1/29, 42, 15, 34
2018/1/30, 42, 14, 34
2018/1/31, 42, 14, 26
2018/2/1, 40, 17, 40
2018/2/2, 47, 10, 20
2018/2/3, 31, 8, 5
2018/2/4, 23, 10, 9
2018/2/5, 22, 8, 15
2018/2/6, 17, 37, 7
2018/2/7, 20, 12, 8
2018/2/8, 18, 12, 17
2018/2/9, 23, 9, 6
2018/2/10, 19, 11, 19
2018/2/11, 35, 14, 20
2018/2/12, 25, 28, 8
2018/2/13, 37, 11, 22
2018/2/14, 35, 16, 34
2018/2/15, 43, 14, 25
2018/2/16, 40, 14, 
2018/2/17, 40, 14, 
2018/2/18, 42, 17, 
2018/2/19, 46, 19, 
2018/2/20, 48, 11, 
2018/2/21, 29, 12, 
2018/2/22, 35, 17, 
2018/2/23, 33, 25, 
2018/2/24, 32, 32, 
2018/2/25, 41, 21, 
2018/2/26, 49, 14, 
2018/2/27, 17, 7, 
2018/2/28, 12, 7, 
2018/3/1, 18, 6, 
2018/3/2, 17, 5, 
2018/3/3, 18, 10, 
2018/3/4, 33, 11, 
2018/3/5, 34, 11, 
2018/3/6, 28, 16, 
2018/3/7, 22, 19, 
2018/3/8, 33, 17, 35
2018/3/9, 43, 14, 30
2018/3/10, 43, 10, 13
2018/3/11, 35, 13, 34
2018/3/12, 41, 13, 29
2018/3/13, 36, 14, 35
2018/3/14, 39, 12, 25
2018/3/15, 33, 15, 13
2018/3/16, 19, 12, 6
2018/3/17, 10, 7, 9
2018/3/18, 15, 11, 16
2018/3/19, 33, 11, 22
2018/3/20, 27, 8, 14
2018/3/21, 20, 11, 26
2018/3/22, 34, 9, 21
2018/3/23, 22, 9, 11
2018/3/24, 27, 8, 8
2018/3/25, 27, 9, 14
2018/3/26, 26, 8, 19
2018/3/27, 22, 7, 14
2018/3/28, 18, 8, 8
2018/3/29, 22, 6, 7
2018/3/30, 15, 6, 6
2018/3/31, 17, 7, 6
2017/10/1, 38, 27, 10
2017/10/2, 24, 20, 9
2017/10/3, 24, 34, 17
2017/10/4, 30, 39, 22
2017/10/5, 40, 29, 17
2017/10/6, 35, 12, 12
2017/10/7, 24, 10, 10
2017/10/8, 27, 24, 18
2017/10/9, 32, 33, 20
2017/10/10, 28, 31, 16
2017/10/11, 26, 31, 16
2017/10/12, 28, 26, 19
2017/10/13, 30, , 4
2017/10/14, 20, , 6
2017/10/15, 18, , 15
2017/10/16, 20, 8, 13
2017/10/17, 20, 9, 13
2017/10/18, 26, 10, 18
2017/10/19, 30, 8, 12
2017/10/20, 20, 8, 10
2017/10/21, 25, 9, 16
2017/10/22, 25, 42, 18
2017/10/23, 30, 30, 20
2017/10/24, 24, 31, 21
2017/10/25, 29, 14, 9
2017/10/26, 19, 6, 11
2017/10/27, 13, 8, 13
2017/10/28, 23, 7, 13
2017/10/29, 25, 7, 18
2017/10/30, 21, 8, 23
2017/10/31, 25, 9, 26
2017/11/1, 23, 12, 11
2017/11/2, 25, 7, 10
2017/11/3, 14, 7, 8
2017/11/4, 17, 11, 22
2017/11/5, 34, 9, 24
2017/11/6, 27, 15, 25
2017/11/7, 37, 6, 13
2017/11/8, 14, 20, 12
2017/11/9, 13, 20, 14
2017/11/10, 21, 38, 6
2017/11/11, 21, 33, 11
2017/11/12, 27, 12, 17
2017/11/13, 24, 7, 13
2017/11/14, 17, 10, 22
2017/11/15, 29, 10, 26
2017/11/16, 30, 14, 30
2017/11/17, 38, 14, 22
