date, pm25, o3, no2, so2
2018/3/10, , 15, 6, 
2018/3/11, , 17, 7, 
2018/3/12, , 15, 2, 
2018/3/13, , 18, 4, 
2018/3/14, , 16, 2, 
2018/3/15, , 19, 4, 
2018/3/16, , 19, 8, 
2018/3/17, , 11, 6, 
2018/3/18, , 18, 6, 
2018/3/19, , 18, 5, 
2018/3/20, , 12, 5, 
2018/3/21, , 17, 3, 
2018/3/22, , 19, 6, 
2018/3/23, , 20, 6, 
2018/3/24, , 18, 5, 
2018/3/25, , 18, 4, 
2018/3/26, , 19, 2, 
2018/3/27, , 15, 4, 
2018/3/28, , 12, 4, 
2018/3/29, , 20, 1, 
2018/3/30, , 17, 2, 
2018/3/31, , 19, 3, 
2017/10/1, , 13, 4, 
2017/10/2, , 15, 4, 
2017/10/3, , 18, 4, 
2017/10/4, , 19, 6, 
2017/10/5, , 19, 5, 
2017/10/6, , 22, 2, 
2017/10/7, , 16, 1, 
2017/10/8, , 9, 1, 
2017/10/9, , 7, 3, 
2017/10/10, , 13, 4, 
2017/10/11, , 8, 3, 
2017/10/12, , 7, 2, 
2017/10/13, , 9, 2, 
2017/10/14, , 12, 1, 
2017/10/15, , 13, 1, 
2017/10/16, , 12, 4, 
2017/10/17, , 13, 4, 
2017/10/18, , 15, 5, 
2017/10/19, , 16, 6, 
2017/10/20, , 21, 4, 
2017/10/21, , 22, 3, 
2017/10/22, , 21, 1, 
2017/10/23, , 18, 1, 
2017/10/24, , 14, 2, 
2017/10/25, , 14, 4, 
2017/10/26, , 13, 4, 
2017/10/27, , 16, 2, 
2017/10/28, , 17, 2, 
2017/10/29, , 8, 1, 
2017/10/30, , 12, 5, 
2017/10/31, , 13, 6, 
2017/11/1, , 8, 5, 
2017/11/2, , 16, 5, 
2017/11/3, , 11, 4, 
2017/11/4, , 7, 1, 
2017/11/5, , 8, 2, 
2017/11/6, , 10, 4, 
2017/11/7, , 7, 3, 
2017/11/8, , 9, 4, 
2017/11/9, , 6, 3, 
2017/11/10, , 13, 6, 
2017/11/11, , 13, 3, 
2017/11/12, , 12, 5, 
2017/11/13, , 7, 5, 
2017/11/14, , 10, 4, 
2017/11/15, , 12, 3, 
2017/11/16, , 13, 5, 
2017/11/17, , 9, 2, 
2017/11/18, , 15, , 
2017/11/19, , 13, 4, 
2017/11/20, , 14, 3, 
2017/11/21, , 14, , 
2017/11/23, , 10, 4, 
2017/11/24, , 13, 2, 
2017/11/25, , 16, 3, 
2017/11/26, , 14, 7, 
2017/11/27, , 11, 5, 
2017/11/28, , 15, 7, 
2017/11/29, , 16, 6, 
2017/11/30, , 15, 8, 
2017/12/1, , 11, 5, 
2017/12/2, , 11, 6, 
2017/12/3, , 12, 5, 
2017/12/4, , 15, 3, 
2017/12/5, , 14, 3, 
2017/12/6, , 12, 3, 
2017/12/7, , 13, 7, 
2017/12/8, , 10, 6, 
