date, pm25, pm10, no2, so2, co
2018/11/7, 31, 12, , 2, 2
2018/11/8, 22, 5, , 3, 2
2018/11/9, 20, 5, , , 2
2018/11/10, 17, 10, , , 2
2018/11/11, 18, 10, , , 2
2018/11/12, 26, 11, 1, , 2
2018/11/13, 29, 13, 1, , 2
2018/11/14, 32, 16, 4, , 2
2018/11/15, 37, 14, 4, , 2
2018/11/16, 29, 11, 1, , 2
2018/11/17, 33, 10, 2, , 2
2018/11/18, 23, 4, 2, , 2
2018/11/19, 19, 7, 3, , 2
2018/11/20, 21, 9, 3, , 2
2018/11/21, 24, 12, 2, , 2
2018/11/22, 27, 10, 1, , 2
2018/11/23, 25, 13, 1, , 2
2018/11/24, 30, 15, , , 2
2018/11/25, 27, 15, 1, , 2
2018/11/26, 29, 12, 3, , 2
2018/11/27, 27, 9, 2, , 2
2018/11/28, 21, 13, 1, , 1
2018/11/29, 22, 15, 1, , 1
2018/11/30, 30, 29, , , 1
2018/12/1, 47, 21, , , 1
2018/12/2, 42, 11, 1, , 1
2018/12/3, 28, 11, 1, , 1
2018/12/4, 26, 9, 2, , 1
2018/12/5, 22, 16, 1, , 1
2018/12/6, 32, 21, 2, , 1
2018/12/7, 33, 21, 2, , 1
2018/12/8, 42, 20, 3, , 2
2018/12/9, 43, 18, 1, , 1
2018/12/10, 36, 16, 1, , 1
2018/12/11, 25, 9, 1, , 1
2018/12/12, 23, 10, 2, , 1
2018/12/13, 22, 9, 1, , 1
2018/12/14, 20, 12, 1, , 1
2018/12/15, 34, 8, , , 1
2018/12/16, 21, 12, 2, , 1
2018/12/17, 27, 13, 3, , 1
2018/12/18, 25, 6, 3, , 1
2018/12/19, 17, 6, 3, , 2
2018/12/20, 17, 7, 3, , 1
2018/12/21, 17, 5, 2, , 1
2018/12/22, 16, 4, 1, , 1
2018/12/23, 15, 11, 1, , 1
2018/12/24, 21, 10, , , 1
2018/12/25, 16, 11, 1, , 1
2018/12/26, 25, 11, 1, , 1
2018/12/27, 18, 12, , , 1
2018/12/28, 23, 9, 2, , 1
2018/12/29, 18, 13, 3, , 2
2018/12/30, 25, , , , 
2018/7/1, 77, 12, , , 3
2018/7/2, 37, 10, , , 3
2018/7/3, 32, 29, , , 8
2018/7/4, 79, 31, , , 8
2018/7/5, 82, 30, 11, , 7
2018/7/6, 79, 9, 5, , 2
2018/7/7, 26, 24, 5, , 5
2018/7/8, 68, 11, 5, , 3
2018/7/9, 34, 20, 12, , 6
2018/7/10, 57, 28, 10, , 8
2018/7/11, 75, 22, 10, , 4
2018/7/12, 48, 40, 14, , 10
2018/7/13, 100, 41, 11, , 11
2018/7/14, 106, 25, 5, , 5
2018/7/15, 62, 14, 5, , 3
2018/7/16, 25, 28, 11, , 7
