date, pm25, pm10, so2, co
2018/4/29, 21, , , 1
2018/4/30, 9, , , 3
2018/5/1, 31, , , 4
2018/5/2, 50, , , 4
2018/5/3, 58, , , 5
2018/5/4, 59, , 1, 2
2018/5/5, 20, , , 2
2018/5/6, 31, , , 3
2018/5/7, 37, , , 3
2018/5/8, 33, , , 3
2018/5/9, 29, , , 3
2018/5/10, 21, , , 2
2018/5/11, 27, , , 2
2018/5/12, 20, , , 2
2018/5/13, 26, , , 3
2018/5/14, 34, , , 3
2018/5/15, 46, , , 2
2018/5/16, 40, , , 4
2018/5/17, 36, , , 3
2018/5/18, 34, , , 2
2018/5/19, 15, , , 2
2018/5/20, 24, , , 3
2018/5/21, 15, , , 3
2018/5/22, 41, , , 2
2018/5/23, 34, , , 2
2018/5/24, 30, , , 5
2018/5/25, 55, , , 5
2018/5/26, 61, , , 2
2018/5/27, 40, , , 2
2018/5/28, 27, , , 3
2018/5/29, 48, , , 2
2018/5/30, 41, , , 2
2018/5/31, 39, , , 2
2018/6/1, 29, , , 2
2018/6/2, 39, , , 1
2018/6/3, 22, , , 1
2018/6/4, 17, , , 2
2018/6/5, 29, , , 2
2018/6/6, 24, , , 3
2018/6/7, 24, , , 3
2018/6/8, 34, , , 3
2018/6/9, 39, , , 2
2018/6/10, 27, , , 2
2018/6/11, 32, , , 3
2018/6/12, 34, , , 3
2018/6/13, 27, , , 1
2018/6/14, 31, , , 2
2018/6/15, 27, , , 3
2018/6/16, 34, , , 4
2018/6/17, 52, , , 3
2018/6/18, 54, , , 1
2018/6/19, 30, , , 2
2018/6/20, 27, , , 3
2018/6/21, 39, , , 2
2018/6/22, 34, , , 1
2018/6/23, 24, , , 3
2018/6/24, 40, , , 1
2018/6/25, 17, , , 2
2018/6/26, 21, , , 2
2018/6/27, 24, , , 3
2018/6/28, 29, , , 3
2018/6/29, 30, , , 3
2018/6/30, 45, , , 5
2018/1/1, 33, , , 2
2018/1/2, 28, , 1, 5
2018/1/3, 53, , , 2
2018/1/5, 14, , , 1
2018/1/6, 16, , , 3
2018/1/7, 32, , 1, 4
2018/1/8, 55, , , 3
2018/1/9, 49, , , 5
2018/1/10, 36, , , 8
2018/1/11, 64, , , 4
2018/1/12, 26, , , 1
2018/1/13, 14, , , 1
2018/1/14, 16, , , 2
2018/1/15, 21, , , 3
2018/1/16, 47, , , 2
2018/1/17, 32, , , 2
2018/1/18, 43, , , 4
2018/1/19, 60, , , 4
2018/1/20, 47, , , 7
2018/1/21, 64, , , 4
2018/1/22, 74, , , 3
2018/1/23, 33, , , 2
2018/1/24, 10, , , 1
2018/1/25, 13, , , 3
2018/1/26, 21, , 1, 6
2018/1/27, 42, , , 5
2018/1/28, 38, , , 2
2018/1/29, 27, , , 2
2018/1/30, 22, , , 2
2018/1/31, 20, , , 4
2018/2/1, 35, , , 2
2018/2/2, 25, , , 3
2018/2/3, 26, , , 3
2018/2/4, 24, , , 2
2018/2/5, 13, , , 4
2018/2/6, 42, , , 3
2018/2/7, 41, , , 2
2018/2/8, 28, , , 4
2018/2/9, 49, , , 6
2018/2/10, 51, , , 6
2018/2/11, 28, , , 2
2018/2/12, 22, , , 3
2018/2/13, 25, , , 5
2018/2/14, 49, , , 7
2018/2/15, 63, , , 4
2018/2/16, 29, , , 3
2018/2/17, 18, , , 3
2018/2/18, 27, , , 6
2018/2/19, 47, , , 5
2018/2/20, 48, , , 5
2018/2/21, 45, , , 2
2018/2/22, 9, , , 2
2018/2/23, 26, , , 3
2018/2/24, 32, , 35, 2
2018/2/25, 17, , 3, 3
2018/2/26, 27, , , 3
2018/2/27, 20, , , 4
2018/2/28, 33, , , 4
2018/3/1, 49, , , 1
2018/3/2, 16, , , 1
2018/3/3, 16, , , 1
2018/3/4, 13, , , 1
2018/3/5, 13, , , 3
2018/3/6, 26, , , 1
2018/3/7, 14, , , 2
2018/3/8, 17, , , 2
2018/3/9, 19, , , 2
2018/3/10, 12, , , 2
2018/3/11, 15, , , 2
2018/3/12, 21, , , 1
2018/3/13, 11, , , 2
2018/3/14, 16, , , 2
2018/3/15, 19, , , 2
2018/3/16, 19, , , 2
2018/3/17, 21, , , 2
2018/3/18, 16, , , 2
2018/3/19, 28, , , 2
2018/3/20, 27, , , 2
2018/3/21, 16, , , 1
2018/3/22, 16, , , 1
2018/3/23, 11, , , 1
2018/3/24, 19, , , 2
2018/3/25, 17, , , 3
2018/3/26, 23, , , 4
2018/3/27, 34, , , 5
2018/3/28, 50, , , 5
2018/3/29, 64, , , 3
2018/3/30, 34, , , 2
2018/3/31, 19, , , 2
2017/10/4, 32, , , 3
2017/10/5, 47, , , 4
2017/10/6, 38, , , 4
2017/10/7, 40, , , 3
2017/10/8, 22, , , 3
2017/10/9, 28, , , 2
2017/10/10, 18, , , 2
2017/10/11, 30, , , 2
2017/10/12, 17, , , 1
2017/10/18, 42, , , 4
2017/10/19, 43, , , 6
2017/10/20, 31, , , 3
2017/10/21, 28, , , 5
2017/10/22, 45, , , 6
2017/10/23, 28, , , 3
2017/10/24, 31, , , 2
2017/10/25, 22, , , 2
2017/10/26, 17, , , 1
2017/10/27, 25, , , 3
2017/10/28, 36, , , 5
2017/10/29, 15, , , 1
2017/10/30, 14, , , 1
2017/10/31, 26, , , 2
2017/11/1, 28, , , 4
2017/11/2, 32, , , 4
2017/11/3, 27, , , 3
2017/11/4, 13, , , 2
2017/11/5, 18, , , 2
2017/11/6, 30, , , 3
2017/11/7, 13, , , 1
2017/11/8, 21, , , 2
2017/11/9, 24, , , 3
2017/11/10, 18, , , 1
2017/11/11, 21, , , 2
2017/11/12, 48, , , 5
2017/11/13, 51, , , 4
2017/11/14, 25, , , 2
2017/11/15, 30, , , 3
2017/11/16, 18, , , 2
2017/11/17, 14, , , 2
2017/11/18, 32, , , 5
2017/11/19, 25, , , 2
2017/11/20, 18, , , 2
2017/11/21, 39, , , 4
2017/11/22, 27, , , 3
2017/11/23, 31, , , 2
2017/11/24, 45, , , 4
2017/11/25, 58, , , 7
2017/11/26, 27, , , 2
2017/11/27, 21, , , 2
2017/11/28, 25, , , 3
2017/11/29, 30, , , 2
2017/11/30, 24, , , 4
2017/12/1, 30, , , 3
2017/12/2, 32, , , 4
2017/12/3, 52, , , 4
2017/12/4, 61, , , 5
2017/12/5, 32, , , 2
2017/12/6, 20, , , 2
2017/12/7, 23, , , 2
2017/12/8, 29, , , 2
2017/12/9, 31, , , 2
2017/12/10, 34, , , 2
2017/12/11, 39, , , 2
2017/12/12, 37, , , 3
2017/12/13, 11, , , 1
2017/12/14, 16, , , 1
2017/12/15, 25, , , 3
2017/12/19, 39, , , 4
2017/12/20, 17, , , 2
2017/12/21, 18, , , 2
2017/12/22, 27, , , 3
2017/12/23, 35, , , 4
2017/12/24, 13, , , 2
2017/12/25, 17, , , 1
2017/12/26, 22, , , 1
2017/12/27, 29, , , 2
2017/12/28, 22, , 1, 1
2017/12/29, 21, , , 2
2017/12/30, 52, , , 3
2017/12/31, 30, , , 2
2017/7/1, 31, , , 3
2017/7/2, 29, , , 2
2017/7/3, 39, , , 2
2017/7/4, 38, , , 2
2017/7/5, 40, , , 2
2017/7/6, 28, , , 2
2017/7/7, 14, , , 3
2017/7/8, 35, , , 2
2017/7/9, 26, , , 3
2017/7/10, 41, , , 3
2017/7/11, 39, , , 3
2017/7/12, 50, , , 3
2017/7/13, 41, , , 2
2017/7/14, 26, , , 2
2017/7/15, 26, , , 3
2017/7/16, 28, , , 3
2017/7/17, 37, , , 3
2017/7/18, 25, , , 3
2017/7/19, 40, , , 4
2017/7/20, 52, , , 2
2017/7/21, 29, , , 3
2017/7/22, 50, , , 2
2017/7/23, 46, , , 1
2017/7/24, 23, , , 1
2017/7/25, 18, , , 2
2017/7/26, 22, , , 3
2017/7/27, 33, , , 3
2017/7/28, 38, , , 1
2017/7/29, 20, , , 2
2017/7/30, 17, , , 3
2017/7/31, 28, , , 4
2017/8/1, 45, , , 3
2017/8/2, 56, , , 3
2017/8/3, 42, , , 3
2017/8/4, 15, , , 2
2017/8/5, 15, , , 1
2017/8/6, 17, , , 3
2017/8/7, 34, , , 2
2017/8/8, 23, , , 3
2017/8/9, 28, , , 4
2017/8/10, 35, , , 3
2017/8/11, 27, , , 3
2017/8/12, 15, , , 2
2017/8/13, 15, , , 3
2017/8/14, 14, , , 3
2017/8/15, 21, , , 2
2017/8/16, 27, , , 2
2017/8/17, 20, , , 3
2017/8/18, 16, , , 4
2017/8/19, 9, , , 2
2017/8/20, 21, , , 4
2017/8/21, 41, , , 3
2017/8/22, 34, , , 1
2017/8/23, 16, , , 2
2017/8/24, 24, , , 2
2017/8/25, 13, , , 3
2017/8/26, 27, , , 2
2017/8/27, 25, , , 2
2017/8/28, 24, , , 2
2017/8/29, 16, , , 2
2017/8/30, 18, , , 2
2017/8/31, 31, , , 1
2017/9/1, 13, , , 2
2017/9/2, 16, , , 2
2017/9/3, 13, , , 3
2017/9/4, 33, , , 
2017/9/9, 25, , , 1
2017/9/10, 22, , , 2
2017/9/11, 29, , , 4
2017/9/12, 41, , , 4
2017/9/13, 41, , , 4
2017/9/14, 58, , , 4
2017/9/15, 49, , , 3
2017/9/16, 55, , , 4
2017/9/17, 62, , , 2
2017/9/18, 29, , , 1
2017/9/19, 34, , , 1
2017/9/20, 17, , , 1
2017/9/21, 14, , , 1
2017/9/22, 20, , , 2
2017/9/23, 14, , , 4
2017/9/24, 30, , , 4
2017/9/25, 34, , , 2
2017/9/26, 23, , , 2
2017/9/27, 6, , , 1
2017/9/28, 8, , , 3
2017/9/29, 16, , , 2
2017/4/1, 9, , , 2
2017/4/2, 14, , , 4
2017/4/3, 33, , , 2
2017/4/4, 18, , , 3
2017/4/5, 31, , , 2
2017/4/6, 16, , , 2
2017/4/7, 14, , , 1
2017/4/8, 8, , , 4
2017/4/9, 18, , , 4
2017/4/10, 45, , , 3
2017/4/11, 53, , , 4
2017/4/12, 47, , , 1
2017/4/13, 17, , , 3
