date, pm25, no2
2017/5/30, 21, 11
2017/5/31, 37, 9
2017/6/1, 27, 11
2017/6/2, 29, 9
2017/6/3, 31, 14
2017/6/4, 51, 14
2017/6/5, 49, 8
2017/6/6, 35, 8
2017/6/7, 21, 12
2017/6/8, 28, 9
2017/6/9, 28, 8
2017/6/10, 36, 8
2017/6/11, 43, 9
2017/6/12, 52, 8
2017/6/13, 50, 7
2017/6/14, 49, 6
2017/6/15, 33, 8
2017/6/16, 33, 9
2017/6/17, 31, 3
2017/6/18, 25, 7
2017/6/19, 23, 7
2017/6/20, 16, 9
2017/6/21, 30, 16
2017/6/22, 42, 10
2017/6/23, 36, 3
2017/6/24, 29, 3
2017/6/25, 21, 6
2017/6/26, 19, 8
2017/6/27, 22, 8
2017/6/28, 20, 9
2017/6/29, 35, 10
2017/6/30, 44, 7
2017/1/2, 33, 15
2017/1/3, 18, 8
2017/1/4, 15, 14
2017/1/5, 22, 11
2017/1/6, 40, 9
2017/1/7, 48, 7
2017/1/8, 40, 14
2017/1/9, 29, 16
2017/1/10, 39, 22
2017/1/11, 47, 18
2017/1/12, 38, 13
2017/1/13, 29, 10
2017/1/14, 28, 14
2017/1/15, 55, 21
2017/1/16, 62, 22
2017/1/17, 64, 12
2017/1/18, 31, 14
2017/1/19, 27, 21
2017/1/20, 60, 17
2017/1/21, 51, 12
2017/1/22, 30, 7
2017/1/23, 14, 6
2017/1/24, 13, 15
2017/1/25, 24, 18
2017/1/26, 30, 6
2017/1/27, 9, 11
2017/1/28, 21, 12
2017/1/29, 33, 10
2017/1/30, 34, 22
2017/1/31, 37, 15
2017/2/1, 23, 12
2017/2/2, 23, 11
2017/2/3, 33, 8
2017/2/4, 51, 
2017/2/6, 67, 30
2017/2/7, 58, 11
2017/2/8, 41, 6
2017/2/9, 18, 10
2017/2/10, 24, 25
2017/2/11, 46, 15
2017/2/12, 47, 5
2017/2/13, 17, 27
2017/2/14, 41, 26
2017/2/15, 46, 6
2017/2/16, 20, 20
2017/2/17, 35, 31
2017/2/18, 54, 9
2017/2/19, 38, 16
2017/2/20, 31, 13
2017/2/21, 29, 23
2017/2/22, 43, 26
2017/2/23, 59, 19
2017/2/24, 36, 10
2017/2/25, 26, 5
2017/2/26, 24, 25
2017/2/27, 50, 24
2017/2/28, 40, 12
2017/3/1, 40, 3
2017/3/2, 16, 6
2017/3/3, 24, 7
2017/3/4, 23, 9
2017/3/5, 22, 22
2017/3/6, 43, 19
2017/3/7, 45, 8
2017/3/8, 17, 15
2017/3/9, 30, 5
2017/3/10, 20, 3
2017/3/11, 15, 5
2017/3/12, 32, 11
2017/3/13, 29, 5
2017/3/14, 22, 5
2017/3/15, 20, 11
2017/3/16, 31, 17
2017/3/17, 41, 10
2017/3/18, 47, 7
2017/3/19, 41, 10
2017/3/20, 33, 16
2017/3/21, 54, 7
2017/3/22, 26, 15
2017/3/23, 34, 19
