date, pm25, pm10, no2, so2, co
2018/9/26, 63, 30, 6, , 5
2018/9/27, 39, 15, 7, , 6
2018/9/28, 44, 21, 22, , 
2020/1/1, , 26, 21, , 5
2019/10/17, , 5, 35, 1, 10
2019/10/18, , 10, 31, 1, 9
2019/10/20, , 45, 41, 2, 10
2019/2/4, , 16, 20, , 4
2019/2/17, , 47, 23, 1, 11
2019/2/28, , 30, 24, 1, 
2019/3/1, , 34, 25, 1, 6
2018/10/1, , 24, 30, , 10
2018/12/9, , 34, 28, 1, 
2018/12/10, , 27, 29, 1, 
2018/12/11, , 27, 30, , 
2018/12/12, , 30, 28, , 
2018/12/13, , 29, 30, 1, 
2018/8/18, , 21, 19, , 
2018/4/1, , 25, 14, , 
2018/4/2, , 32, 42, , 
2018/4/3, , 33, 36, , 
2018/4/4, , 36, 33, , 
2018/4/5, , 46, 31, , 
2018/4/6, , 39, 31, , 
2018/4/7, , 28, 30, , 
2018/4/8, , 32, 24, , 
2018/4/9, , 28, 24, , 
2018/4/10, , 27, 34, , 
2018/4/11, , 33, 28, , 
2018/4/12, , 44, , , 
2018/4/17, , 60, 7, , 
2018/4/18, , 45, 23, , 
2018/4/19, , 23, 24, , 
2018/4/20, , 32, 29, , 
2018/4/21, , 36, 22, , 
2018/4/22, , 38, 31, , 
2018/4/23, , 40, 30, , 
2018/4/24, , 38, 27, , 
2018/4/25, , 46, 34, , 
2018/4/26, , 38, 50, , 
2018/4/27, , 39, 38, , 
2018/4/28, , 49, 24, , 
2018/4/29, , 45, 27, , 
2018/4/30, , 35, 21, , 
2018/5/1, , 26, 19, , 
2018/5/2, , 35, 25, , 
2018/5/3, , 40, 26, , 
2018/5/4, , 21, 28, , 
2018/5/5, , 23, 29, , 
2018/5/6, , 22, 29, , 
2018/5/7, , 21, 37, , 
2018/5/8, , 22, 33, , 
2018/5/9, , 18, 30, , 
2018/5/10, , 20, 33, , 
2018/5/11, , 26, 28, , 
2018/5/12, , 29, 25, , 
2018/5/13, , 24, 23, , 
2018/5/14, , 20, 30, , 
2018/5/15, , 17, 34, , 
2018/5/16, , 18, 31, , 
2018/5/17, , 18, 32, , 
2018/5/18, , 20, 30, , 
2018/5/19, , 20, 25, , 
2018/5/20, , 19, 37, , 
2018/5/21, , 17, 33, , 
2018/6/5, , 33, 27, , 
2018/6/6, , 23, 39, , 
2018/3/30, , 28, 34, , 
2018/3/31, , 30, 20, , 
2019/1/1, , , 20, 1, 
2019/1/2, , , 9, 1, 
2019/1/3, , , 2, , 
2019/1/4, , , 11, , 
2019/1/5, , , 24, , 
2019/1/6, , , 32, , 
2019/1/7, , , 22, , 
2019/1/8, , , 29, 1, 
2019/1/9, , , 21, , 
2019/1/10, , , 21, , 
2019/1/11, , , 19, , 
2019/1/12, , , 26, 1, 
2019/1/13, , , 27, 2, 
2019/1/14, , , 27, 1, 
2019/1/15, , , 22, , 
2019/1/16, , , 42, 2, 
2019/1/17, , , 28, 1, 
2019/1/18, , , 30, 1, 
2019/1/19, , , 37, 1, 
2019/1/20, , , 29, , 
2019/1/21, , , 35, 1, 
2019/1/22, , , 27, , 
2019/1/23, , , 33, , 
2019/1/24, , , 25, , 
2019/1/25, , , 24, , 
2019/1/26, , , 23, , 
2019/1/27, , , 25, 1, 
2019/1/28, , , 20, , 
2019/1/29, , , 25, , 
2019/1/30, , , 32, 1, 
2019/1/31, , , 33, , 
2019/2/1, , , 22, , 
2019/2/2, , , 17, , 
2019/2/3, , , 20, , 
2019/2/16, , , 18, 1, 
2018/12/5, , , 32, , 
2018/12/6, , , 39, 1, 
2018/12/7, , , 37, , 
2018/12/8, , , 18, , 
2018/12/14, , , 23, , 
2018/12/15, , , 18, , 
2018/12/16, , , 23, , 
2018/12/17, , , 18, , 
2018/12/18, , , 25, 1, 
2018/12/19, , , 34, 1, 
2018/12/20, , , 38, 1, 
2018/12/21, , , 34, 1, 
2018/12/22, , , 39, 1, 
2018/12/23, , , 34, , 
2018/12/24, , , 26, , 
2018/12/25, , , 8, , 
2018/12/26, , , 20, 1, 
2018/12/27, , , 40, 1, 
