date, pm25, pm10, o3, so2, co
2018/5/5, , 27, , , 
2018/5/6, , 24, , , 
2018/5/7, , 16, , , 
2018/5/8, , 19, , , 
2018/5/9, , 31, , , 
2018/5/10, , 12, , , 
2018/5/11, , 10, , , 
2018/5/12, , 13, , , 
2018/5/13, , 8, , , 
2018/5/14, , 12, , , 3
2018/5/15, , 16, , , 2
2018/5/16, , 14, , , 2
2018/5/17, , 11, , , 2
2018/5/18, , 15, , , 3
2018/5/19, , 16, , , 2
2018/5/20, , 16, , , 2
2018/5/21, , 11, , , 2
2018/5/22, , 17, , , 3
2018/5/23, , 20, , , 2
2018/5/24, , 14, , , 3
2018/5/25, , 27, , , 2
2018/5/26, , 14, , , 2
2018/5/27, , 14, , , 2
2018/5/28, , 12, , , 3
2018/5/29, , 17, , , 2
2018/5/30, , 27, , , 2
2018/5/31, , 16, , , 2
2018/6/1, , 18, , , 3
2018/6/2, , 17, , , 1
2018/6/3, , 23, , , 2
2018/6/4, , 27, , , 3
2018/6/5, , 18, , , 3
2018/6/6, , 31, , , 4
2018/6/7, , 34, , , 4
2018/6/8, , 23, , , 3
2018/6/9, , 27, , , 2
2018/6/10, , 8, , , 2
2018/6/12, , 26, , , 3
2018/6/13, , 28, , , 2
2018/6/14, , 21, , , 4
2018/6/15, , 32, , , 3
2018/6/16, , 22, , , 2
2018/6/17, , 15, , , 3
2018/6/18, , 12, , , 3
2018/6/19, , 12, , , 3
2018/6/20, , 18, , , 3
2018/6/21, , 17, , , 4
2018/6/22, , 18, , , 3
2018/6/23, , 18, , , 3
2018/6/24, , 17, , , 3
2018/6/25, , 26, , , 2
2018/6/26, , 21, , , 4
2018/6/29, , 10, , , 3
2018/6/30, , 11, , , 3
2018/1/1, , 29, , , 
2018/1/2, , 20, , , 
2018/1/3, , 25, , , 
2018/1/4, , 32, , , 
2018/1/5, , 41, , , 
2018/1/6, , 19, , , 
2018/1/7, , 13, , , 
2018/1/8, , 19, , , 
2018/1/9, , 12, , , 
2018/1/10, , 15, , , 
2018/1/11, , 12, , , 
2018/1/12, , 15, , , 
2018/1/13, , 24, , , 
2018/1/14, , 20, , , 
2018/1/15, , 27, , , 
2018/1/16, , 18, , , 
2018/1/17, , 22, , , 
2018/1/18, , 20, , , 
