date, pm25, o3, no2, so2
2018/3/26, 41, 29, 13, 
2018/3/27, 37, 21, 8, 
2018/3/28, 47, 28, 12, 
2018/3/29, 59, 28, 5, 
2018/3/30, 40, 32, 4, 
2018/3/31, 33, 31, 7, 
2017/10/1, 22, 35, , 
2017/10/2, 27, 29, , 
2017/10/3, 30, 34, , 
2017/10/4, 29, 41, , 
2017/10/5, 40, 39, , 
2017/10/6, 42, 27, , 
2017/10/7, 17, 16, , 
2017/10/8, 14, 13, , 
2017/10/9, 7, 26, , 
2017/10/10, 22, 31, , 
2017/10/11, 36, 18, , 
2017/10/12, 52, 20, , 
2017/10/13, 54, 17, , 
2017/10/16, 10, 22, , 
2017/10/17, 24, 31, , 
2017/10/18, 34, 34, , 
2017/10/19, 39, 37, , 
2017/10/20, 38, 27, , 
2017/10/21, 36, 36, , 
2017/10/22, 45, 30, , 
2017/10/23, 33, 32, , 
2017/10/24, 16, 26, 5, 
2017/10/25, 32, 19, 5, 
2017/10/26, 39, 32, 10, 1
2017/10/27, 57, 39, 2, 
2017/10/28, 52, 29, 3, 
2017/10/29, 25, 25, 4, 1
2017/10/30, 31, 23, 11, 
2017/10/31, 38, 26, 10, 1
2017/11/1, 52, 27, 8, 
2017/11/2, 43, 20, 10, 
2017/11/3, 45, 22, 7, 1
2017/11/4, 42, 19, 7, 
2017/11/5, 46, 19, 4, 
2017/11/6, 42, 16, 7, 
2017/11/7, 50, 15, 13, 
2017/11/8, 51, 25, 12, 1
2017/11/9, 45, 29, 3, 
2017/11/10, 30, 28, 6, 2
2017/11/11, 43, 21, 19, 1
2017/11/12, 82, 6, 22, 
2017/11/13, 83, 20, 15, 
2017/11/14, 67, 23, 14, 1
2017/11/15, 48, 23, 9, 
2017/11/16, 35, 23, 12, 
2017/11/17, 32, 26, 8, 
2017/11/18, 52, 26, 2, 
2017/11/19, 16, 26, 7, 
2017/11/20, 32, 26, 5, 
2017/12/11, 55, 25, 7, 1
2017/12/12, 44, 26, 5, 
2017/12/13, 25, 23, 13, 1
2017/12/14, 42, 19, 19, 1
2017/12/15, 46, 19, 16, 
