date, pm25, o3, so2, co
2018/8/3, 47, 38, 1, 2
2018/8/4, 47, 31, 1, 1
2018/8/5, 45, 31, 1, 1
2018/8/6, 59, 30, 1, 1
2018/8/7, 72, 34, 1, 1
2018/8/8, 50, 37, 1, 1
2018/8/9, 56, 37, 2, 2
2018/8/10, 54, 38, 1, 2
2018/8/11, 51, 36, 1, 2
2018/8/12, 62, 35, 1, 2
2018/8/13, 47, 35, 1, 2
2018/8/14, 49, 21, 1, 1
2018/8/15, 47, 33, 1, 1
2018/8/16, 36, 33, 1, 1
2018/8/17, 32, 35, 1, 
2018/8/18, 39, 31, 1, 
2018/8/19, 46, 29, 1, 2
2018/8/20, 43, 26, , 2
2018/8/21, 41, 26, 1, 2
2018/8/22, 39, 24, 1, 2
2018/8/23, 47, 17, 1, 2
2018/8/24, 46, 33, 1, 3
2018/8/25, 61, 13, 1, 3
2018/8/26, 69, 32, 1, 2
2018/8/27, 59, 30, 1, 1
2018/8/28, 44, 29, 1, 1
2018/8/29, 25, 34, 1, 2
2018/8/30, 28, 38, 1, 2
2018/8/31, 34, 28, 2, 1
2018/9/1, 27, 24, 1, 
2018/9/2, 37, 24, 1, 1
2018/9/3, 34, 31, 1, 1
2018/9/4, 35, 33, 1, 1
2018/9/5, 42, 25, 1, 1
2018/9/6, 25, 21, , 1
2018/9/7, 19, 21, , 1
2018/9/8, 37, 24, , 1
2018/9/9, 16, 34, 1, 1
2018/9/10, 27, 38, , 1
2018/9/11, 27, 40, , 1
2018/9/12, 27, 41, , 1
2018/9/13, 29, 43, 1, 1
2018/9/14, 30, 42, 1, 1
2018/9/15, 38, 32, 1, 1
2018/9/16, 49, 35, 1, 1
2018/9/17, 40, 42, 1, 1
2018/9/18, 40, 38, 1, 1
2018/9/19, 37, 39, 1, 1
2018/9/20, 44, 31, 1, 1
2018/9/21, 35, 24, , 1
2018/9/22, 15, 31, 1, 1
2018/9/23, 24, 21, 1, 1
2018/9/24, 24, 23, 1, 1
2018/9/25, 32, 29, 1, 1
2018/9/26, 20, 31, 1, 1
2018/9/27, 20, 33, 1, 1
2018/9/28, 24, 20, 1, 1
2018/9/29, 20, 37, 1, 1
2018/9/30, 27, 33, 1, 1
2018/4/1, 22, 31, , 1
2018/4/2, 26, 23, , 1
2018/4/3, 33, 32, , 1
2018/4/4, 32, 36, , 1
2018/4/5, 24, 34, , 1
2018/4/6, 36, 33, , 1
2018/4/7, 25, 38, , 1
2018/4/8, 26, 34, , 1
2018/4/9, 41, 36, , 1
2018/4/10, 48, 33, , 1
2018/4/11, 44, 40, , 1
2018/4/12, 34, 31, , 1
2018/4/13, 40, 34, 1, 1
2018/4/14, 19, 28, , 1
2018/4/15, 17, 33, , 1
2018/4/16, 17, 44, , 1
2018/4/17, 26, 29, , 1
2018/4/18, 34, 41, , 1
2018/4/19, 21, 41, , 1
2018/4/20, 33, 43, 2, 2
2018/4/21, 33, 41, , 1
2018/4/22, 30, 29, , 1
2018/4/23, 25, 29, , 1
2018/4/24, 28, 38, , 2
2018/4/25, 32, 42, 1, 2
2018/4/26, 40, 41, , 1
2018/4/27, 32, 36, , 1
2018/4/28, 25, 41, 1, 1
2018/4/29, 31, 44, 2, 1
2018/4/30, 32, 44, , 1
2018/5/1, 47, 34, , 2
2018/5/2, 42, 28, , 1
2018/5/3, 33, 42, , 1
2018/5/4, 29, 52, , 1
2018/5/5, 34, 43, , 1
2018/5/6, 36, 44, 1, 2
2018/5/7, 37, 47, 1, 1
2018/5/8, 36, 40, 2, 1
2018/5/9, 35, 45, , 1
2018/5/10, 34, 44, 1, 1
2018/5/11, 44, 29, 2, 1
2018/5/12, 46, 35, , 2
2018/5/13, 48, 39, 2, 1
2018/5/14, 49, 32, 1, 1
2018/5/15, 37, 43, 1, 1
2018/5/16, 28, 54, 1, 1
2018/5/17, 44, 31, 1, 1
2018/5/18, 43, 43, 1, 1
2018/5/19, 31, 30, 1, 1
2018/5/20, 44, 34, 1, 1
2018/5/21, 34, 38, 1, 1
2018/5/22, 34, , , 
2018/5/23, 34, , , 
2018/5/24, 31, , , 
2018/5/25, 31, , , 
2018/5/26, 39, , , 
2018/5/27, 37, , , 
2018/5/28, 39, , , 
2018/5/29, 43, 33, 1, 1
2018/5/30, 33, 28, 2, 1
2018/5/31, 28, , , 
2018/6/1, 35, 30, 1, 2
2018/6/2, 20, 30, 1, 1
2018/6/3, 24, 40, 1, 1
2018/6/4, 25, 47, 1, 1
2018/6/5, 23, 42, 1, 1
2018/6/6, 29, 41, 1, 1
2018/6/7, 36, 51, 1, 1
2018/6/8, 49, 37, 1, 
2018/6/9, 41, 36, , 
2018/6/10, 14, 39, , 1
2018/6/11, 31, 36, , 1
2018/6/12, 29, , , 1
2018/6/13, 28, 41, , 1
2018/6/14, 18, 42, , 1
2018/6/15, 38, 46, 2, 2
2018/6/16, 47, 42, 2, 2
2018/6/17, 46, 35, 3, 1
2018/6/18, 39, 29, 2, 1
2018/6/19, 35, 33, 2, 1
2018/6/20, 27, 39, , 1
2018/6/21, 21, 34, , 1
2018/6/22, 22, 29, , 1
2018/6/23, 24, 37, , 1
2018/6/24, 27, 38, 1, 1
2018/6/25, 30, 40, , 1
2018/6/26, 25, 37, 1, 1
2018/6/27, 20, 38, , 1
2018/6/28, 34, 33, 2, 2
2018/6/29, 36, 34, 1, 2
2018/6/30, 39, 26, 1, 1
2018/1/1, 35, 25, 2, 1
2018/1/2, 39, , , 
2018/1/3, 40, , , 
2018/1/4, 35, , , 
2018/1/5, 33, , , 
2018/1/6, 45, , , 
2018/1/7, 44, 19, 1, 
2018/1/8, 65, 13, , 1
2018/1/9, 62, 8, , 2
2018/1/10, 24, , , 
2018/1/11, 22, 24, , 1
2018/1/12, 21, 23, , 1
2018/1/13, 17, 24, 2, 1
2018/1/14, 22, 24, 1, 1
2018/1/15, 40, 19, , 1
2018/1/16, 32, 22, 2, 1
2018/1/17, 46, 22, , 2
2018/1/18, 49, 24, , 1
2018/1/19, 51, 18, , 1
2018/1/20, 41, 18, , 1
2018/1/21, 29, 28, , 
2018/1/22, 27, 23, , 1
2018/1/23, 28, 25, , 
2018/1/24, 41, 22, , 
2018/1/25, 42, 31, , 1
2018/1/26, 31, 27, , 1
2018/1/27, 33, 27, , 1
2018/1/28, 31, 22, , 1
2018/1/29, 37, 26, , 1
2018/1/30, 28, 21, , 1
2018/1/31, 33, 23, , 1
2018/2/1, 27, 25, , 1
2018/2/2, 22, 23, , 1
2018/2/3, 19, 27, , 1
2018/2/4, 27, 29, , 1
2018/2/5, 25, 25, , 1
2018/2/6, 45, 30, , 2
2018/2/7, 62, 2, , 1
2018/2/8, 63, 19, , 2
2018/2/9, 62, 26, , 2
2018/2/10, 50, 33, , 2
2018/2/11, 42, 30, 1, 2
2018/2/12, 58, 26, , 2
2018/2/13, 59, 12, , 2
2018/2/14, 52, 10, , 1
2018/2/15, 28, 28, , 1
2018/2/16, 44, 21, , 1
2018/2/17, 46, 25, , 1
2018/2/18, 36, 20, , 1
2018/2/19, 20, 19, , 1
2018/2/20, 23, 25, , 1
2018/2/21, 30, 24, 2, 1
2018/2/22, 27, 14, , 1
2018/2/23, 23, 17, 1, 1
2018/2/24, 25, 32, 1, 1
2018/2/25, 32, 34, , 1
2018/2/26, 25, 36, , 1
2018/2/27, 18, 26, , 1
2018/2/28, 16, 25, , 1
2018/3/1, 32, 33, , 1
2018/3/2, 25, 33, , 1
2018/3/3, 20, 34, , 1
2018/3/4, 23, 25, , 1
2018/3/5, 23, 28, , 1
2018/3/6, 21, 32, , 1
2018/3/7, 24, 32, , 1
2018/3/8, 34, 34, , 1
2018/3/9, 29, 35, , 1
2018/3/10, 30, 32, , 1
2018/3/11, 29, 31, , 1
2018/3/12, 34, 34, , 1
2018/3/13, 31, 35, 1, 1
2018/3/14, 29, 40, , 1
2018/3/15, 42, 32, , 1
2018/3/16, 26, 24, , 1
2018/3/17, 40, 38, , 2
2018/3/18, 45, 35, , 1
2018/3/19, 35, 28, , 1
2018/3/20, 24, 32, , 1
2018/3/21, 29, 39, 2, 1
2018/3/22, 35, 39, , 1
2018/3/23, 34, 31, , 1
2018/3/24, 30, 36, , 
2018/3/25, 23, 26, , 1
2018/3/26, 33, 21, , 1
2018/3/27, 38, 20, , 2
2018/3/28, 38, 29, , 2
2018/3/29, 40, 32, , 1
2018/3/30, 37, 28, , 1
2018/3/31, 32, 32, , 1
2017/10/1, 31, 43, , 1
2017/10/2, 36, 27, , 1
2017/10/3, 31, 25, 2, 1
2017/10/4, 42, 12, , 1
2017/10/5, 23, 23, , 1
2017/10/6, 46, 30, 1, 1
2017/10/7, 38, 32, , 1
2017/10/8, 28, 36, 2, 1
2017/10/9, 43, 32, , 1
2017/10/10, 31, 12, 1, 1
2017/10/11, 12, 19, , 1
2017/10/12, 22, 31, 1, 1
2017/10/13, 31, 38, , 1
2017/10/14, 44, 25, , 1
2017/10/15, 28, 29, , 1
2017/10/16, 22, 33, , 1
2017/10/17, 25, 38, , 1
2017/10/18, 33, 42, 1, 1
2017/10/19, 40, 43, 2, 1
2017/10/20, 49, 32, 2, 1
2017/10/21, 41, 24, 1, 1
2017/10/22, 21, 23, , 1
2017/10/23, 12, 19, , 1
2017/10/24, 18, 18, 2, 1
2017/10/25, 22, 28, 1, 1
2017/10/26, 25, 22, 1, 1
2017/10/27, 17, 21, , 1
2017/10/28, 15, 29, 1, 1
2017/10/29, 23, 22, 1, 1
2017/10/30, 16, 26, , 1
2017/10/31, 20, 16, , 1
2017/11/1, 25, 14, , 2
2017/11/2, 36, 18, , 1
2017/11/3, 41, 10, , 1
2017/11/4, 44, 14, , 1
2017/11/5, 37, 14, , 1
2017/11/6, 29, 20, , 1
2017/11/7, 24, 26, 1, 1
2017/11/8, 40, 24, 2, 1
