date, pm25, pm10, o3, so2, co
2018/9/28, 23, 4, 33, 2, 
2018/9/29, 12, 6, 30, , 
2018/9/30, 19, 9, 19, , 
2018/4/1, 31, 14, 12, 1, 
2018/4/2, 44, 17, 11, 1, 
2018/4/3, 52, 13, 12, 1, 
2018/4/4, 42, 15, 12, 6, 
2018/4/5, 40, 14, 10, , 
2018/4/6, 40, 8, 5, , 
2018/4/7, 27, 8, 9, 1, 
2018/4/8, 26, 11, 15, , 
2018/4/9, 32, 19, 13, 4, 
2018/4/10, 39, 25, 9, 1, 
2018/4/11, 57, 13, 10, 1, 
2018/4/12, 35, 18, 14, 1, 
2018/4/13, 55, 9, 15, , 
2018/4/14, 27, 6, 13, 5, 
2018/4/15, 19, 9, 12, 1, 
2018/4/16, 25, 12, 12, 7, 
2018/4/17, 29, 17, 11, 5, 
2018/4/18, 42, 16, 17, 2, 
2018/4/19, 41, 7, 11, 1, 
2018/4/20, 20, 11, 12, 2, 
2018/4/21, 27, 16, 24, 1, 
2018/4/22, 44, 10, 9, , 
2018/4/23, 29, 14, 15, , 
2018/4/24, 40, 10, 13, 1, 
2018/4/25, 32, 11, 12, 4, 
2018/4/26, 19, 10, 9, 2, 
2018/4/27, 27, , , , 
2018/4/29, 30, 9, 10, , 
2018/4/30, 25, 9, 15, , 
2018/5/1, 26, 8, 13, 1, 
2018/5/2, 25, 8, 13, 2, 
2018/5/3, 26, 6, 12, , 
2018/5/4, 20, 19, 12, , 
2018/5/5, 52, 9, 13, , 
2018/5/6, 23, 9, 10, , 
2018/5/7, 25, 3, 10, 1, 
2018/5/8, 9, 18, 5, 3, 
2018/5/9, 45, 15, 10, , 
2018/5/10, 43, 11, 13, , 
2018/5/11, 30, 18, 8, 2, 
2018/5/12, 49, 34, 14, , 
2018/5/13, 87, 7, 9, 5, 
2018/5/14, 16, 19, 9, 7, 
2018/5/15, 50, 17, 13, 6, 
2018/5/16, 51, 14, 13, 7, 
2018/5/17, 41, 18, 7, 9, 
2018/5/18, 47, 9, 8, 7, 
2018/5/19, 26, 14, 13, 7, 
2018/5/20, 42, 17, 9, 7, 
2018/5/21, 49, 22, 10, 7, 
2018/5/22, 61, 32, 10, 7, 
2018/5/23, 74, 24, 8, 9, 
2018/5/24, 63, 14, 12, 14, 
2018/5/25, 39, 9, 14, 10, 
2018/5/26, 25, 13, 12, 10, 
2018/5/27, 39, 15, 7, 11, 
2018/5/28, 38, 17, 6, 17, 
2018/5/29, 42, 8, 7, 6, 
2018/5/30, 24, 6, 9, 3, 
2018/5/31, 17, 9, 10, 2, 
2018/6/1, 29, 9, 10, 2, 
2018/6/2, 31, 10, 15, 2, 
2018/6/3, 34, 14, 11, 3, 
2018/6/4, 44, 14, 5, 3, 
2018/6/5, 44, 23, 7, 3, 
2018/6/6, 60, 14, 10, 2, 
2018/6/7, 38, 23, 5, 12, 
2018/6/8, 63, 12, 9, 11, 
2018/6/9, 34, 13, 7, 4, 
2018/6/10, 36, 14, 5, 3, 
2018/6/11, 43, 9, 8, 3, 
2018/6/12, 27, 10, 9, 2, 
2018/6/13, 28, 11, 9, 2, 
2018/6/14, 35, 22, 8, 2, 
2018/6/15, 62, 13, 8, 8, 
2018/6/16, 37, 9, 9, 9, 
2018/6/17, 28, 13, 6, 11, 
2018/6/18, 38, 13, 4, 15, 
2018/6/19, 39, 18, 8, 8, 
2018/6/20, 54, 19, 9, 4, 
2018/6/21, 51, 30, 4, 14, 
2018/6/22, 74, 14, 2, 10, 
2018/6/23, 44, 13, 10, 6, 
2018/6/24, 41, 18, 10, 4, 
2018/6/25, 51, 35, 4, 5, 
2018/6/26, 87, 32, 6, 14, 
