date, pm25, o3, no2, co
2018/5/12, 12, 33, 2, 1
2018/5/13, 14, 34, 5, 1
2018/5/14, 11, 32, 1, 1
2018/5/15, 16, 32, 1, 2
2018/5/16, 15, 28, 1, 2
2018/5/17, 16, 26, 3, 2
2018/5/18, 10, 31, 5, 2
2018/5/19, 12, 24, 1, 2
2018/5/20, 10, 38, 3, 2
2018/5/21, 16, 35, 5, 2
2018/5/22, 16, 29, 1, 2
2018/5/23, 20, 28, 3, 1
2018/5/24, 9, 29, 1, 1
2018/5/25, 26, 25, 1, 1
2018/5/26, 28, 26, 2, 1
2018/5/27, 17, 31, 3, 4
2018/5/28, 13, 25, 2, 7
2018/5/29, 20, 33, 3, 6
2018/5/30, 20, 29, 3, 3
2018/5/31, 24, 30, 2, 2
2018/6/1, 28, 20, 1, 2
2018/6/2, 19, 27, 1, 2
2018/6/3, 14, 27, 2, 2
2018/6/4, 12, 32, 1, 1
2018/6/5, 15, 34, 2, 1
2018/6/6, 16, 28, 4, 
2018/6/7, 14, 28, 2, 
2018/6/8, 15, 28, 3, 1
2018/6/9, 16, 27, 3, 1
2018/6/10, 13, 26, 3, 
2018/6/11, 10, 34, 4, 2
2018/6/12, 18, 33, 2, 2
2018/6/13, 26, 21, 1, 2
2018/6/14, 12, 22, 2, 1
2018/6/15, 13, 22, 1, 1
2018/6/16, 23, 25, 1, 1
2018/6/17, 14, 32, 1, 1
2018/6/18, 23, 24, 1, 1
2018/6/19, 19, 27, 2, 1
2018/6/20, 19, 25, 2, 1
2018/6/21, 12, 26, 3, 1
2018/6/22, 15, 28, 3, 
2018/6/23, 17, 26, 1, 1
2018/6/24, 19, 22, 1, 1
2018/6/25, 14, 20, 2, 1
2018/6/26, 13, 13, 3, 1
2018/6/27, 22, , , 
2018/1/5, 14, 22, 1, 2
2018/1/6, 12, 24, 1, 2
2018/1/7, 10, 22, 4, 2
2018/1/8, 12, 18, 9, 2
2018/1/9, 29, 21, 5, 2
2018/1/10, 17, 20, 12, 3
2018/1/11, 35, 24, 2, 2
2018/1/12, 18, 23, 1, 1
2018/1/13, 6, 25, 1, 1
2018/1/14, 6, 24, 2, 2
2018/1/15, 9, 25, 3, 2
2018/1/16, 10, 21, 4, 2
2018/1/17, 11, 18, 9, 3
2018/1/18, 25, 21, 9, 2
2018/1/19, 27, 22, 5, 2
2018/1/20, 36, 25, 2, 
2018/1/21, 15, 25, 9, 2
2018/1/22, 24, 22, 11, 2
2018/1/23, 28, 25, 1, 1
2018/1/24, 9, 26, 1, 1
2018/1/25, 8, 24, 2, 1
2018/1/26, 15, 24, 8, 2
2018/1/27, 23, 23, 2, 1
2018/1/28, 25, 24, 2, 1
2018/1/29, 14, 24, 1, 1
2018/1/30, 17, 25, 3, 1
2018/1/31, 11, 19, 14, 2
2018/2/1, 18, 21, 10, 2
2018/2/2, 14, 24, 6, 2
2018/2/3, 16, 25, 10, 2
2018/2/4, 17, 25, 5, 2
2018/2/5, 6, 25, 2, 2
2018/2/6, 10, 22, 10, 3
2018/2/7, 30, 23, 3, 2
2018/2/8, 13, 24, 14, 3
2018/2/9, 24, 20, 16, 4
2018/2/10, 35, 26, 3, 2
2018/2/11, 23, 27, 3, 2
2018/2/12, 10, 31, 3, 2
2018/2/13, 30, 33, 13, 3
2018/2/14, 34, 31, 7, 3
2018/2/15, 34, 27, 5, 4
2018/2/16, 28, 31, 2, 3
2018/2/17, 17, 27, 4, 2
2018/2/18, 20, 30, 9, 1
2018/2/19, 26, 32, 5, 2
2018/2/20, 22, 27, 3, 3
2018/2/21, 17, 31, 1, 2
2018/2/22, 5, 32, 2, 3
2018/2/23, 10, 31, 1, 3
2018/2/24, 5, 34, 1, 3
2018/2/25, 10, 30, 4, 3
2018/2/26, 9, 34, 4, 2
2018/2/27, 14, 31, 7, 2
2018/2/28, 18, 31, 3, 2
2018/3/1, 14, 32, 1, 2
2018/3/2, 7, 34, 1, 2
2018/3/3, 10, 33, 1, 2
2018/3/4, 11, 34, 1, 1
2018/3/5, 9, 34, 1, 1
2018/3/6, 14, 35, 2, 1
2018/3/7, 10, 33, 1, 1
2018/3/8, 11, 31, 4, 2
2018/3/9, 10, 31, 2, 2
2018/3/10, 13, 32, 1, 2
2018/3/11, 9, 35, 3, 3
2018/3/12, 9, 33, 2, 3
2018/3/13, 10, 32, 1, 2
2018/3/14, 6, 31, 2, 2
2018/3/15, 11, 32, 1, 1
2018/3/16, 7, 32, 1, 2
2018/3/17, 9, 31, 1, 2
2018/3/18, 12, 26, 3, 2
2018/3/19, 11, 28, 2, 1
2018/3/20, 18, 34, 8, 2
2018/3/21, 21, 34, 1, 1
2018/3/22, 9, 33, 2, 1
2018/3/23, 7, 32, 1, 1
2018/3/24, 11, 32, 4, 2
2018/3/25, 14, 29, 13, 3
2018/3/26, 20, 35, 9, 3
2018/3/27, 16, 33, 3, 3
2018/3/28, 13, 34, 4, 2
2018/3/29, 12, 30, 5, 2
2018/3/30, 15, 35, 4, 2
2018/3/31, 16, 35, 6, 1
2017/1/2, 28, 22, 9, 4
2017/1/3, 36, 25, 2, 2
2017/1/4, 10, 28, 2, 2
2017/1/5, 15, 25, 4, 2
2017/1/6, 23, 26, 4, 2
2017/1/7, 20, 27, 1, 2
2017/1/8, 13, 24, 4, 3
2017/1/9, 26, 15, 25, 6
2017/1/10, 52, 29, 3, 3
2017/1/11, 27, 25, 9, 5
2017/1/12, 27, 30, 1, 3
2017/1/13, 16, 27, 2, 4
2017/1/14, 19, 26, 3, 1
2017/1/15, 18, 27, 5, 2
2017/1/16, 23, 29, 4, 1
2017/1/17, 25, , 12, 4
2017/1/18, 32, , 12, 4
2017/1/19, 34, 22, 5, 4
2017/1/20, 25, 22, 3, 2
2017/1/21, 25, 29, 1, 2
2017/1/22, 17, 30, 6, 3
2017/1/23, 20, 30, 7, 4
2017/1/24, 24, , , 
2017/1/25, 13, 23, 8, 8
2017/1/26, 28, 30, 2, 5
2017/1/27, 15, 31, 1, 
2017/1/28, 11, 30, 4, 4
2017/1/29, 19, 22, 10, 4
2017/1/30, 31, 27, 8, 3
2017/1/31, 33, 25, 13, 2
2017/2/1, 46, 27, 5, 3
2017/2/2, 33, 31, 6, 4
2017/2/3, 20, 30, 8, 4
2017/2/4, 30, 30, 8, 2
2017/2/5, 24, 32, 4, 1
2017/2/6, 23, 30, 3, 2
2017/2/7, 24, 29, 8, 2
2017/2/8, 21, 30, 4, 1
2017/2/9, 22, 29, 2, 2
2017/2/10, 20, 26, 6, 3
2017/2/11, 27, 30, 10, 3
2017/2/12, 39, 32, 1, 1
2017/2/13, 21, 31, 2, 2
2017/2/14, 18, 27, 6, 3
2017/2/15, 23, , , 
2020/1/1, , 19, 2, 1
2018/12/31, , 23, 2, 2
2018/7/18, , 18, 2, 2
2018/8/16, , 15, 2, 2
2018/1/4, , 24, 1, 1
