date, pm10, no2, so2
2018/5/7, 10, 6, 
2018/5/8, 15, 8, 
2018/5/9, 17, 5, 
2018/5/10, 26, 4, 
2018/5/11, 17, 4, 
2018/5/12, 10, 6, 
2018/5/13, 16, 7, 
2018/5/14, 14, 9, 1
2018/5/15, 20, 6, 
2018/5/16, 19, 2, 
2018/5/17, 23, 2, 
2018/5/18, 29, 5, 1
2018/5/19, 23, 4, 1
2018/5/20, 14, 5, 1
2018/5/21, 10, 9, 1
2018/5/22, 15, 9, 
2018/5/23, 19, 6, 1
2018/5/24, 16, 6, 1
2018/5/25, 17, 5, 1
2018/5/26, 19, 4, 
2018/5/27, 16, 8, 
2018/5/28, 15, 10, 1
2018/5/29, 27, 6, 
2018/5/30, 19, 8, 
2018/5/31, 22, 9, 1
2018/6/1, 21, 4, 
2018/6/2, 29, 3, 
2018/6/3, 24, 3, 
2018/6/4, 11, 3, 
2018/6/5, 11, 5, 
2018/6/6, 15, 5, 
2018/6/7, 12, 8, 
2018/6/8, 17, 7, 
2018/6/9, 22, 6, 
2018/6/10, 19, 2, 
2018/6/11, 14, 2, 
2018/6/12, 9, 2, 1
2018/6/13, 8, 3, 
2018/6/14, 11, 4, 1
2018/6/15, 18, 5, 1
2018/6/16, 12, 4, 1
2018/6/17, 23, 3, 
2018/6/18, 11, 3, 1
2018/6/19, 13, 4, 
2018/6/20, 10, 3, 
2018/6/21, 15, 1, 
2018/6/22, 6, 1, 
2018/6/23, 10, 1, 1
2018/6/24, 9, 2, 1
2018/6/25, 10, 3, 1
2018/6/26, 14, 4, 1
2018/6/27, 14, 6, 
2018/6/28, 8, 5, 2
2018/6/29, 10, 3, 3
2018/6/30, 8, 3, 4
2018/1/1, 9, 4, 
2018/1/2, 9, 2, 
2018/1/3, 7, 3, 
2018/1/4, 9, 4, 
2018/1/5, 10, 5, 
2018/1/6, 11, 7, 
2018/1/7, 6, 15, 
2018/1/8, 8, 8, 
2018/1/9, 13, 13, 
2018/1/10, 22, 11, 
2018/1/11, 26, 9, 
