date, pm25, no2, co
2017/10/13, 60, 15, 6
2017/10/14, 56, 5, 2
2017/10/15, 32, 21, 5
2017/10/16, 23, 18, 7
2017/10/17, 52, 19, 4
2017/10/18, 54, 20, 5
2017/10/19, 60, 24, 8
2017/10/20, 71, 19, 8
2017/10/21, 66, 17, 6
2017/10/22, 48, 17, 3
2017/10/23, 26, 9, 1
2017/10/24, 18, 12, 3
2017/10/25, 28, 20, 5
2017/10/26, 46, 14, 3
2017/10/27, 40, 7, 2
2017/10/28, 21, 7, 2
2017/10/29, 17, 11, 2
2017/10/30, 25, 14, 3
2017/10/31, 31, 21, 7
2017/11/1, 58, 24, 3
2017/11/2, 46, 17, 4
2017/11/3, 53, 13, 5
2017/11/4, 52, 13, 3
2017/11/5, 44, 17, 3
2017/11/6, 22, 19, 3
2017/11/7, 29, 24, 5
2017/11/8, 37, 19, 6
2017/11/9, 49, 19, 3
2017/11/10, 22, 19, 5
2017/11/11, 38, 20, 8
2017/11/12, 69, 21, 4
2017/11/13, 49, 25, 6
2017/11/14, 41, 9, 5
2017/11/15, 47, 14, 3
2017/11/16, 38, 16, 4
2017/11/17, 31, 8, 2
2017/11/18, 28, 5, 2
2017/11/19, 34, 22, 3
2017/11/20, 34, 21, 3
2017/11/21, 31, 21, 5
2017/11/22, 47, 19, 7
2017/11/23, 55, 21, 6
2017/11/24, 47, 10, 2
2017/11/25, 21, 18, 5
2017/11/26, 41, 33, 6
2017/11/27, 56, 29, 4
2017/11/28, 51, 37, 6
2017/11/29, 64, 28, 7
2017/11/30, 78, 27, 7
2017/12/1, 65, 25, 11
2017/12/2, 65, 22, 10
2017/12/3, 77, 24, 6
2017/12/4, 61, 11, 1
2017/12/5, 36, 13, 2
2017/12/6, 25, 14, 2
2017/12/7, 34, 17, 2
2017/12/8, 30, 15, 3
2017/12/9, 43, 11, 2
2017/12/10, 27, 21, 5
2017/12/11, 51, 9, 1
2017/12/12, 27, 15, 2
2017/12/13, 18, 20, 3
2017/12/14, 52, 16, 3
2017/12/15, 49, 16, 2
2017/12/16, 36, 24, 3
2017/12/17, 50, 12, 2
2017/12/18, 43, 10, 2
2017/12/19, 56, 26, 5
2017/12/20, 44, 27, 6
2017/12/21, 43, 13, 3
2017/12/22, 43, 11, 3
2017/12/23, 35, 9, 2
2017/12/24, 34, 3, 1
2017/12/25, 12, 14, 2
2017/12/26, 27, 19, 3
2017/12/27, 40, 23, 4
2017/12/28, 45, 16, 2
2017/12/29, 53, 12, 2
2017/12/30, 54, , 
2017/7/1, 39, 18, 3
2017/7/2, 41, 23, 5
2017/7/3, 59, 18, 4
2017/7/4, 83, 26, 5
2017/7/5, 85, 21, 4
2017/7/6, 46, 16, 3
2017/7/7, 44, 15, 3
2017/7/8, 28, 16, 4
2017/7/9, 39, 15, 3
2017/7/10, 55, 16, 3
2017/7/11, 53, 13, 4
2017/7/12, 69, 19, 3
2017/7/13, 59, 17, 4
2017/7/14, 45, 17, 4
2017/7/15, 29, 15, 4
2017/7/16, 52, 26, 5
2017/7/17, 46, 21, 4
2017/7/18, 67, 27, 5
2017/7/19, 64, 20, 4
2017/7/20, 69, 20, 3
2017/7/21, 53, 14, 3
2017/7/22, 69, 10, 2
2017/7/23, 27, 22, 4
2017/7/24, 44, 21, 3
2017/7/25, 31, 25, 4
2017/7/26, 57, 24, 4
2017/7/27, 55, 19, 4
2017/7/28, 53, 12, 3
2017/7/29, 20, 14, 4
2017/7/30, 47, 22, 5
2017/7/31, 57, 25, 5
2017/8/1, 64, 23, 4
2017/8/2, 58, 14, 3
2017/8/3, 52, 14, 3
2017/8/4, 41, 12, 3
2017/8/5, 24, 15, 4
2017/8/6, 44, 20, 4
2017/8/7, 42, 27, 5
2017/8/8, 54, 25, 5
2017/8/9, 50, 27, 5
2017/8/10, 57, 24, 4
2017/8/11, 68, 19, 4
2017/8/12, 40, 18, 4
2017/8/13, 35, 20, 4
2017/8/14, 49, 26, 5
2017/8/15, 58, 19, 5
2017/8/16, 67, 12, 2
2017/8/17, 41, 16, 3
2017/8/18, 35, 15, 3
2017/8/19, 53, 14, 4
2017/8/20, 58, 20, 4
2017/8/21, 65, 18, 3
2017/8/22, 45, 27, 4
2017/8/23, 36, 26, 5
2017/8/24, 53, 27, 5
2017/8/25, 47, 20, 5
2017/8/26, 54, 21, 5
