date, pm25, o3, so2, co
2018/5/1, 46, 37, , 
2018/5/2, 50, 35, , 
2018/5/3, 48, 34, , 1
2018/5/4, 56, 30, , 1
2018/5/5, 34, 44, , 2
2018/5/6, 38, 41, , 2
2018/5/7, 45, 59, , 3
2018/5/8, 57, 53, , 1
2018/5/9, 57, 50, 2, 
2018/5/10, 56, 46, , 
2018/5/11, 54, 43, , 
2018/5/12, 61, 38, , 
2018/5/13, 73, 43, , 1
2018/5/14, 67, 44, , 1
2018/5/15, 69, 41, 1, 
2018/5/16, 58, 41, , 
2018/5/17, 42, 44, , 1
2018/5/18, 46, 42, 1, 
2018/5/19, 59, 41, 2, 
2018/5/20, 54, 38, , 
2018/5/21, 41, 29, , 
2018/5/22, 44, 46, , 
2018/5/23, 42, 41, , 
2018/5/24, 33, 39, , 
2018/5/25, 32, 33, 1, 
2018/5/26, 26, 28, , 
2018/5/27, 25, 24, , 
2018/5/28, 29, 31, , 
2018/5/29, 28, 36, 1, 
2018/5/30, 49, 28, 2, 
2018/5/31, 34, 26, 2, 
2018/6/1, 45, 28, 1, 
2018/6/2, 53, 40, 2, 1
2018/6/3, 44, 51, 1, 1
2018/6/4, 30, 39, 1, 1
2018/6/5, 40, 47, , 1
2018/6/6, 47, 52, 1, 2
2018/6/7, 58, 52, 1, 2
2018/6/8, 62, 45, 1, 
2018/6/9, 62, 25, 1, 
2018/6/10, 46, 19, 1, 
2018/6/11, 39, 20, 1, 
2018/6/12, 36, 26, 2, 
2018/6/13, 30, 30, , 
2018/6/14, 36, 34, 1, 
2018/6/15, 38, 35, 1, 
2018/6/16, 41, 20, , 
2018/6/17, 57, 18, , 
2018/6/18, 68, 19, 1, 
2018/6/19, 64, 23, 1, 
2018/6/20, 50, 18, 1, 
2018/6/21, 49, 28, 1, 
2018/6/22, 44, 17, 1, 
2018/6/23, 46, 20, 1, 
2018/6/24, 38, 21, 2, 
2018/6/25, 38, 27, 1, 
2018/6/26, 46, 25, 1, 1
2018/6/27, 39, 30, 1, 1
2018/6/28, 34, 29, 1, 
2018/6/29, 33, 32, 1, 
2018/6/30, 51, 27, 1, 
2018/1/10, 33, 18, , 2
2018/1/11, 21, 25, , 2
2018/1/12, 22, 26, , 2
2018/1/13, 36, 24, , 2
2018/1/14, 28, 28, , 3
2018/1/15, 53, 27, 3, 7
2018/1/16, 38, 28, 1, 4
2018/1/17, 47, 27, 2, 2
2018/1/18, 58, 22, 2, 5
2018/1/19, 58, 21, 3, 8
2018/1/20, 27, 30, , 2
2018/1/21, 35, 33, , 2
2018/1/22, 38, 31, , 2
2018/1/23, 14, 31, , 2
2018/1/24, 28, 31, 1, 4
2018/1/25, 39, 30, 2, 5
2018/1/26, 63, 30, 2, 3
2018/1/27, 42, 24, , 3
2018/1/28, 37, 17, , 2
2018/1/29, 22, 28, , 2
2018/1/30, 53, 25, 2, 4
2018/1/31, 38, 34, 2, 3
2018/2/1, 39, 29, 2, 3
2018/2/2, 16, 30, , 2
2018/2/3, 26, 26, , 2
2018/2/4, 39, 30, , 3
2018/2/5, 54, 21, , 3
2018/2/6, 45, 20, , 3
2018/2/7, 27, 18, , 2
2018/2/8, 41, 25, 1, 3
2018/2/9, 38, 17, 1, 3
2018/2/10, 34, 15, , 2
2018/2/11, 31, 16, , 2
2018/2/12, 47, 18, , 3
2018/2/13, 49, 15, , 3
2018/2/14, 36, 17, , 2
2018/2/15, 39, 25, , 2
2018/2/16, 35, 21, 2, 2
2018/2/17, 29, 21, , 2
2018/2/18, 30, 16, , 2
2018/2/19, 39, 25, , 2
2018/2/20, 35, 22, , 2
2018/2/21, 37, 19, , 2
2018/2/22, 48, 19, , 2
2018/2/23, 42, 18, , 2
2018/2/24, 37, 25, , 1
2018/2/25, 18, 35, , 2
2018/2/26, 13, 29, , 2
2018/2/27, 25, 29, , 2
2018/2/28, 44, 24, , 2
2018/3/1, 26, 27, , 2
2018/3/2, 31, 35, , 2
2018/3/3, 24, 35, , 2
2018/3/4, 31, 35, , 2
2018/3/5, 50, 34, , 2
2018/3/6, 21, 38, , 2
2018/3/7, 27, 34, , 2
2018/3/8, 41, 38, , 2
2018/3/9, 48, 43, 1, 3
2018/3/10, 47, 38, , 2
2018/3/11, 35, 31, , 2
2018/3/12, 35, 37, , 2
2018/3/13, 43, 38, , 2
2018/3/14, 36, 39, , 3
2018/3/15, 55, 42, , 
2018/3/16, 42, 36, , 
2018/3/17, 49, 30, , 
2018/3/18, 50, 15, , 
2018/3/19, 44, 32, , 
2018/3/20, 24, 32, 2, 
2018/3/21, 35, 35, , 
2018/3/22, 36, 34, 1, 
2018/3/23, 46, 48, , 
2018/3/24, 38, 40, , 
2018/3/25, 46, 28, , 
2018/3/26, 54, 26, , 
2018/3/27, 52, 27, , 
2018/3/28, 45, 34, , 
2018/3/29, 20, 31, , 
2018/3/30, 18, 34, 1, 
2018/3/31, 30, 39, 2, 
2020/1/1, , 22, 1, 1
2019/1/1, , 20, , 
2018/9/16, , 29, 1, 1
2018/9/17, , 38, 1, 
2018/1/1, , 28, 1, 2
2018/1/2, , 25, 2, 2
2018/1/3, , 26, 1, 3
2018/1/4, , 26, 1, 3
2018/1/5, , 26, 2, 6
2018/1/6, , 32, 2, 9
2018/1/7, , 31, 2, 2
2018/1/8, , 26, , 3
2018/1/9, , 13, , 3
2017/10/1, , 35, , 2
2017/10/2, , 27, , 2
2017/10/3, , 29, 1, 2
2017/10/4, , 29, 1, 2
2017/10/5, , 32, , 3
2017/10/6, , 29, , 2
2017/10/7, , 19, , 2
2017/10/8, , 21, , 3
2017/10/9, , 23, , 2
2017/10/10, , 20, , 2
2017/10/11, , 31, , 3
2017/10/12, , 38, , 4
2017/10/13, , 36, , 3
2017/10/14, , 28, , 2
2017/10/15, , 28, , 2
2017/10/16, , 26, , 2
2017/10/17, , 28, 1, 4
2017/10/18, , 34, 2, 4
2017/10/19, , 35, , 4
2017/10/20, , 29, 2, 9
2017/10/21, , 22, , 3
2017/10/22, , 28, , 3
2017/10/23, , 30, , 2
2017/10/24, , 30, , 3
2017/10/25, , 30, 2, 3
2017/10/26, , 38, , 2
2017/10/27, , 35, , 2
2017/10/28, , 26, , 3
2017/10/29, , 30, 2, 3
2017/10/30, , 39, 2, 3
2017/10/31, , 27, , 2
2017/11/1, , 26, , 2
2017/11/2, , 23, , 3
2017/11/3, , 22, , 4
2017/11/4, , 20, , 2
2017/11/5, , 23, , 2
2017/11/6, , 21, , 2
2017/11/7, , 20, , 2
2017/11/8, , 9, , 2
