date, pm25, o3, co
2017/10/12, 22, 20, 
2017/10/13, 30, 18, 
2017/10/14, 24, 18, 
2017/10/15, 28, 20, 
2017/10/16, 20, 16, 
2017/10/17, 19, 18, 
2017/10/18, 22, 28, 
2017/10/19, 29, 20, 
2017/10/20, 25, 18, 
2017/10/21, 36, 19, 
2017/10/22, 28, 25, 
2017/10/23, 37, 20, 
2017/10/24, 30, 22, 
2017/10/25, 27, 21, 
2017/10/26, 14, 13, 
2017/10/27, 18, 14, 
2017/10/28, 25, 19, 
2017/10/29, 24, 20, 
2017/10/30, 16, 18, 
2017/10/31, 25, 19, 
2017/11/1, 20, 15, 
2017/11/2, 21, 18, 
2017/11/3, 18, 20, 
2017/11/4, 21, 18, 
2017/11/5, 19, 18, 
2017/11/6, 17, 17, 
2017/11/7, 24, 18, 
2017/11/8, 33, 20, 
2017/11/9, 29, 21, 
2017/11/10, 22, 22, 
2017/11/11, 22, 18, 
2017/11/12, 32, 14, 
2017/11/13, 33, 17, 
2017/11/14, 39, 19, 
2017/11/15, 34, 17, 
2017/11/16, 36, 19, 
2017/11/17, 23, 17, 
2017/11/18, 23, 18, 
2017/11/19, 17, 21, 
2017/11/20, 24, 19, 
2017/11/21, 27, 18, 
2017/11/22, 36, 21, 
2017/11/23, 25, 17, 
2017/11/24, 41, 18, 
2017/11/25, 36, 21, 
2017/11/26, 19, 20, 
2017/11/27, 23, 19, 
2017/11/28, 27, 20, 
2017/11/29, 37, 19, 
2017/11/30, 33, 18, 
2017/12/1, 36, 19, 
2017/12/2, 30, 17, 
2017/12/3, 43, 20, 
2017/12/4, 30, 18, 
2017/12/5, 21, 21, 
2017/12/6, 23, 19, 
2017/12/7, 29, 19, 
2017/12/8, 26, 18, 
2017/12/9, 36, 20, 
2017/12/10, 34, 20, 
2017/12/11, 24, 19, 
2017/12/12, 25, 20, 
2017/12/13, 23, 22, 
2017/12/14, 24, 22, 
2017/12/15, 32, 22, 
2017/12/16, 39, 23, 
2017/12/17, 27, 23, 
2017/12/18, 31, 22, 
2017/12/19, 48, 20, 
