date, pm25, pm10, no2, so2, co
2018/9/1, 47, 39, 14, 3, 9
2018/9/2, 61, 12, 6, 2, 6
2018/9/3, 20, 37, 14, 3, 8
2018/9/4, 52, 49, 16, 4, 8
2018/9/5, 66, 21, 4, 2, 6
2018/9/6, 23, 12, 8, 2, 6
2018/9/7, 23, 32, 19, 3, 9
2018/9/8, 47, 43, 21, 3, 9
2018/9/9, 62, 47, 23, 4, 11
2018/9/10, 83, 50, 21, 3, 12
2018/9/11, 96, 47, 20, 3, 10
2018/9/12, 75, 51, 20, 3, 10
2018/9/13, 82, 37, 16, 4, 8
2018/9/14, 69, 12, 8, 1, 5
2018/9/15, 19, 33, 18, 2, 6
2018/9/16, 40, 48, 28, 3, 7
2018/9/17, 68, 70, 30, 6, 10
2018/9/18, 104, 62, 31, 4, 9
2018/9/19, 106, 76, 21, 3, 7
2018/9/20, 92, 33, 12, 2, 5
2018/9/21, 31, 34, 13, 2, 7
2018/9/22, 39, 20, 10, 3, 8
2018/9/23, 33, 22, 14, 3, 13
2018/9/24, 37, 55, 19, 3, 8
2018/9/25, 131, 57, 22, 4, 9
2018/9/26, 124, 33, 22, 3, 8
2018/9/27, 74, 43, 19, 2, 7
2018/9/28, 64, 11, 7, 2, 4
2018/9/29, 20, 15, 7, 5, 4
2018/9/30, 22, 24, 13, 6, 6
2018/4/1, 121, 565, 19, 10, 11
2018/4/2, 203, 55, 10, 5, 6
2018/4/3, 53, 38, 14, 6, 8
2018/4/4, 83, 99, 9, 5, 8
2018/4/5, 96, 44, 6, 5, 7
2018/4/6, 41, 92, 13, 9, 9
2018/4/7, 89, 87, 21, 15, 11
2018/4/8, 106, 223, 27, 12, 11
2018/4/9, 143, 144, 9, 5, 8
2018/4/10, 75, 52, 19, 9, 10
2018/4/11, 67, 97, 23, 10, 10
2018/4/12, 91, 237, 9, 6, 6
2018/4/13, 150, 107, 10, 5, 5
2018/4/14, 49, 55, 24, 8, 7
2018/4/15, 69, 75, 30, 9, 8
2018/4/16, 105, 105, 33, 11, 10
2018/4/17, 133, 104, 36, 9, 9
2018/4/18, 130, 121, 16, 7, 7
2018/4/19, 104, 95, 16, 9, 9
2018/4/20, 133, 17, 8, 5, 6
2018/4/21, 35, 31, 11, 5, 9
2018/4/22, 63, 31, 9, 4, 6
2018/4/23, 44, 40, 15, 5, 7
2018/4/24, 70, 79, 28, 9, 10
2018/4/25, 129, 72, 26, 6, 8
2018/4/26, 95, 66, 22, 6, 8
2018/4/27, 71, 97, 32, 10, 9
2018/4/28, 109, 289, 14, 6, 7
2018/4/29, 147, 112, 17, 6, 6
2018/4/30, 84, 158, 7, 4, 5
2018/5/1, 81, 45, 15, 5, 6
2018/5/2, 55, 53, 22, 6, 7
2018/5/3, 58, 130, 25, 9, 8
2018/5/4, 113, 216, 9, 4, 5
2018/5/5, 130, 79, 22, 9, 7
2018/5/6, 81, 77, 27, 8, 7
2018/5/7, 93, 93, 23, 9, 8
2018/5/8, 110, 100, 16, 9, 9
2018/5/9, 124, 67, 15, 8, 8
2018/5/10, 145, 53, 15, 5, 9
2018/5/11, 100, 81, 25, 7, 7
2018/5/12, 113, 107, 31, 8, 7
2018/5/13, 123, 114, 31, 9, 7
2018/5/14, 137, 93, 28, 10, 8
2018/5/15, 124, 93, 14, 4, 4
2018/5/16, 90, 70, 10, 7, 6
2018/5/17, 73, 33, 9, 5, 6
2018/5/18, 45, 50, 10, 5, 10
2018/5/19, 93, 45, 10, 5, 11
2018/5/20, 88, 70, 11, 5, 10
2018/5/21, 93, 173, 10, 4, 5
2018/5/22, 94, 69, 21, 9, 7
2018/5/23, 81, 59, 26, 8, 7
2018/5/24, 77, 71, 35, 7, 8
2018/5/25, 90, 315, 13, 5, 6
2018/5/26, 176, 82, 18, 7, 7
2018/5/27, 95, 58, 8, 4, 4
2018/5/28, 51, 23, 11, 4, 6
2018/5/29, 28, 40, 21, 5, 6
2018/5/30, 50, 44, 21, 5, 6
2018/5/31, 53, 70, 27, 7, 8
2018/6/1, 89, 102, 19, 7, 8
2018/6/2, 137, 164, 9, 4, 4
2018/6/3, 85, 81, 18, 8, 5
2018/6/4, 74, 76, 20, 8, 6
2018/6/5, 82, 53, 12, 6, 5
2018/6/6, 54, 56, 7, 4, 5
2018/6/7, 49, 25, 13, 5, 6
2018/6/8, 39, 57, 13, 7, 7
2018/6/9, 71, 52, 18, 6, 7
2018/6/10, 62, 54, 21, 6, 6
2018/6/11, 58, 55, 21, 5, 6
2018/6/12, 54, 18, 8, 5, 5
2018/6/13, 25, 36, 18, 5, 7
2018/6/14, 42, 57, 21, 7, 7
2018/6/15, 72, 66, 19, 7, 8
2018/6/16, 92, 29, 10, 5, 7
