date, pm25, pm10, o3, co
2018/12/17, 29, , , 
2018/12/18, 15, , , 
2018/12/19, 20, , , 
2018/12/20, 27, , , 
2018/12/21, 15, , , 
2018/12/22, 18, , , 
2018/12/23, 15, , , 
2018/12/24, 8, , , 
2018/12/25, 10, , , 
2018/12/26, 10, , , 
2018/12/27, 21, , , 
2018/12/28, 19, , , 
2018/12/29, 29, , , 
2018/12/30, 16, , , 
2018/7/1, 12, , , 
2018/7/2, 24, , , 
2018/7/3, 22, , , 
2018/7/4, 48, , , 
2018/7/5, 50, , , 
2018/7/6, 43, , , 
2018/7/7, 23, , , 
2018/7/8, 30, , , 
2018/7/9, 34, , , 
2018/7/10, 33, , , 
2018/7/17, 37, , , 
2018/7/18, 61, , , 
2018/7/19, 40, , , 
2018/7/20, 72, , , 
2018/7/21, 46, , , 
2018/7/22, 33, , , 
2018/7/23, 35, , , 
2018/7/24, 33, , , 
2018/7/25, 37, , , 
2018/7/26, 49, , , 
2018/7/27, 48, , , 
2018/7/28, 46, , , 
2018/7/29, 47, , , 
2018/7/30, 42, , , 
2018/7/31, 48, , , 
2018/8/1, 43, , , 
2018/8/2, 47, , , 
2018/8/3, 49, , , 
2018/8/4, 52, , , 
2018/8/5, 61, , , 
2018/8/6, 54, , , 
2018/8/7, 77, , , 
2018/8/8, 91, , , 
2018/8/9, 82, , , 
2018/8/10, 93, , , 
2018/8/11, 63, , , 
2018/8/12, 25, , , 
2018/8/13, 97, , , 
2018/8/14, 148, , , 
2018/8/15, 133, , , 
2018/8/16, 131, , , 
2018/8/17, 96, , , 
2018/8/18, 62, , , 
2018/8/19, 121, , , 
2018/8/20, 178, , , 
2018/8/21, 102, , , 
2018/8/22, 113, , , 
2018/8/23, 142, , , 
2018/8/24, 80, , , 
2018/8/25, 75, , , 
2018/8/26, 57, , , 
2018/8/27, 16, , , 
2018/8/28, 20, , , 
2018/8/29, 32, , , 
2018/8/30, 42, , , 
2018/8/31, 37, , , 
2018/9/1, 32, , , 
2018/9/2, 45, , , 
2018/9/3, 34, , , 
2018/9/4, 40, , , 
2018/9/5, 39, , , 
2018/9/6, 46, , , 
2018/9/7, 58, , , 
2018/9/8, 34, , , 
2018/9/9, 21, , , 
2018/9/10, 16, , , 
2018/9/11, 20, , , 
2018/9/12, 27, , , 
2018/9/13, 22, , , 
2018/9/14, 25, , , 
2018/9/15, 34, , , 
2018/9/16, 29, , , 
2018/9/17, 17, , , 
2018/9/18, 20, , , 
2018/9/19, 31, , , 
2018/9/20, 26, , , 
2018/9/21, 24, , , 
2018/9/22, 27, , , 
2018/9/23, 19, , , 
2018/9/24, 21, , , 
2018/9/25, 20, , , 
2018/9/26, 26, , , 
2018/9/27, 36, , , 
2018/9/28, 17, , , 
2018/9/29, 15, , , 
2018/9/30, 16, , , 
2018/4/1, 22, , , 
2018/4/2, 18, , , 
2018/4/3, 21, , , 
2018/4/4, 19, , , 
2018/4/5, 8, , , 
2018/4/6, 14, , , 
2018/4/7, 16, , , 
2018/4/8, 14, , , 
2018/4/9, 12, , , 
2018/4/10, 18, , , 
2018/4/11, 15, , , 
2018/4/12, 15, , , 
2018/4/13, 18, , , 
2018/4/14, 17, , , 
2018/4/15, 13, , , 
2018/4/16, 11, , , 
2018/4/17, 16, , , 
2018/4/18, 19, , , 
2018/4/19, 21, , , 
2018/4/20, 37, , , 
2018/4/21, 18, , , 
2018/4/22, 12, , , 
2018/4/23, 24, , , 
2018/4/24, 29, , , 
2018/4/25, 35, , , 
2018/4/26, 37, , , 
2018/4/27, 46, , , 
2018/4/28, 17, , , 
2018/4/29, 17, , , 
2018/4/30, 18, , , 
2018/5/1, 20, , , 
2018/5/2, 25, , , 
2018/5/3, 30, , , 
2018/5/4, 29, , , 
2018/5/5, 30, , , 
2018/5/7, 21, , , 
2018/5/8, 16, , , 
2018/5/9, 18, , , 
2018/5/10, 23, , , 
2018/5/11, 15, , , 
2018/5/14, 27, , , 
2018/5/15, 34, , , 
2018/5/16, 32, , , 
2018/5/17, 23, , , 
2018/5/18, 25, , , 
2018/5/21, 21, , , 
2018/5/22, 22, , , 
2018/5/23, 22, , , 
2018/5/24, 31, , , 
2018/5/25, 22, , , 
2018/5/26, 30, , , 
2018/5/27, 22, , , 
2018/5/28, 17, , , 
2018/5/29, 23, , , 
2018/5/30, 17, , , 
2018/5/31, 26, , , 
2018/6/1, 24, , , 
2018/6/2, 14, , , 
2018/6/3, 18, , , 
2018/6/4, 14, , , 
2018/6/5, 18, , , 
2018/6/6, 20, , , 
2018/6/7, 30, , , 
2018/6/8, 50, , , 
2018/6/9, 21, , , 
2018/6/11, 9, , , 
2018/6/12, 16, , , 
2018/6/13, 17, , , 
2018/6/14, 20, , , 
2018/6/15, 14, , , 
2018/6/16, 19, , , 
2018/6/17, 12, , , 
2018/6/18, 20, , , 
2018/6/19, 16, , , 
2018/6/20, 15, , , 
2018/6/21, 27, , , 
2018/6/22, 19, , , 
2018/6/23, 25, , , 
2018/6/24, 21, , , 
2018/6/25, 23, , , 
2018/6/26, 14, , , 
2018/6/27, 17, , , 
2018/6/28, 28, , , 
2018/6/29, 25, , , 
2018/6/30, 15, , , 
2018/1/1, 24, , , 
2018/1/2, 15, , , 
2018/1/3, 26, , , 
2018/1/4, 28, , , 
2018/1/5, 39, , , 
2018/1/6, 20, , , 
2018/1/7, 22, , , 
2018/1/8, 31, , , 
2018/1/9, 15, , , 
2018/1/10, 14, , , 
2018/1/11, 14, , , 
2018/1/12, 18, , , 
2018/1/13, 20, , , 
2018/1/14, 13, , , 
2018/1/15, 17, , , 
2018/1/16, 27, , , 
2018/1/17, 15, , , 
2018/1/18, 21, , , 
2018/1/19, 24, , , 
2018/1/20, 27, , , 
2018/1/21, 23, , , 
2018/1/22, 17, , , 
2018/1/23, 20, , , 
2018/1/24, 12, , , 
2018/1/25, 22, , , 
2018/1/26, 14, , , 
2018/1/27, 19, , , 
2018/1/28, 20, , , 
2018/1/29, 39, , , 
2018/1/30, 17, , , 
2018/1/31, 19, 23, , 
2018/2/1, 20, 23, , 
2018/2/2, 16, 6, , 
2018/2/3, 13, 7, , 
2018/2/4, 13, 9, , 
2018/2/5, 13, 10, , 
2018/2/6, 14, , , 
2018/2/7, 16, , , 
2018/2/8, 17, , , 
2018/2/9, 12, , , 
2018/2/10, 18, , , 
2018/2/11, 25, , , 
2018/2/12, 20, , , 
2018/2/13, 30, , , 
2018/2/14, 22, , , 
2018/2/15, 22, , , 
2018/2/16, 17, , , 
2018/2/17, 11, , , 
2018/2/18, 10, , , 
2018/2/19, 17, , , 
2018/2/20, 34, , , 
2018/2/21, 33, , , 
2018/2/22, 28, , , 
2018/2/23, 24, , , 
2018/2/24, 13, , , 
2018/2/25, 17, , , 
2018/2/26, 16, , , 
2018/2/27, 28, , , 
2018/2/28, 20, , , 
2018/3/1, 10, , , 
2018/3/2, 22, , , 
2018/3/3, 39, , , 
2018/3/4, 30, , , 
2018/3/5, 17, , , 
2018/3/6, 29, , , 
2018/3/7, 41, , , 
2018/3/8, 25, , , 
2018/3/9, 17, , , 
2018/3/10, 37, , , 
2018/3/11, 39, , , 
2018/3/12, 45, , , 
2018/3/13, 45, , , 
2018/3/14, 23, , , 
2018/3/15, 19, , , 
2018/3/21, 14, , , 
2018/3/22, 14, , , 
2018/3/23, 17, , , 
2018/3/26, 19, , , 
2018/3/27, 20, , , 
2018/3/28, 21, , , 
2018/3/29, 31, , , 
2018/3/30, 17, , , 
2018/3/31, 28, , , 
2017/10/1, 20, , , 
2017/10/2, 16, , , 
2017/10/3, 12, , , 
2017/11/3, 20, , , 
2017/11/4, 26, , , 
2017/11/5, 16, , , 
2017/11/8, 34, , , 
2017/11/9, 31, , , 
2017/11/10, 39, , , 
2017/11/11, 29, , , 
2017/11/12, 33, , , 
2017/11/13, 29, , , 
2017/11/14, 24, , , 
2017/11/15, 42, , , 
2017/11/16, 16, , , 
2017/11/17, 15, , , 
2017/11/18, 24, , , 
2017/11/19, 37, , , 
2017/11/20, 24, , , 
2017/11/21, 33, , , 
2017/11/22, 35, , , 
2017/11/23, 17, , , 
2017/11/24, 19, , , 
2017/11/25, 21, , , 
2017/11/26, 31, , , 
2017/11/27, 14, , , 
2017/11/28, 22, , , 
2017/11/29, 24, , , 
2017/11/30, 19, , , 
2017/12/1, 23, , , 
2017/12/2, 26, , , 
2017/12/3, 18, , , 
2017/12/4, 19, , , 
2017/12/5, 31, , , 
2017/12/6, 34, , , 
2017/12/7, 25, , , 
2017/12/8, 18, , , 
2017/12/9, 18, , , 
2017/12/10, 16, , , 
2017/12/11, 24, , , 
2017/12/12, 24, , , 
2017/12/13, 44, , , 
2017/12/14, 24, , , 
2017/12/15, 12, , , 
2017/12/16, 19, , , 
2017/12/17, 11, , , 
2017/12/18, 15, , , 
2017/12/19, 17, , , 
2017/12/20, 18, , , 
2017/12/21, 19, , , 
2017/12/22, 18, , , 
2017/12/23, 28, , , 
2017/12/24, 34, , , 
2017/12/25, 24, , , 
2017/12/26, 17, , , 
2017/12/27, 31, , , 
2017/12/28, 21, , , 
2017/12/29, 12, , , 
2017/12/30, 16, , , 
2017/12/31, 13, , , 
2017/7/1, 32, , , 
2017/7/2, 30, , , 
2017/7/3, 46, , , 
2017/7/4, 67, , , 
2017/7/5, 41, , , 
2017/7/6, 35, , , 
2017/7/7, 39, , , 
2017/7/8, 28, , , 
2017/7/9, 30, , , 
2017/7/10, 30, , , 
2017/7/11, 33, , , 
2017/7/12, 24, , , 
2017/7/13, 26, , , 
2017/7/14, 32, , , 
2017/7/15, 32, , , 
2017/7/16, 22, , , 
2017/7/17, 19, , , 
2017/7/18, 30, , , 
2017/7/19, 39, , , 
2017/7/20, 29, , , 
2017/7/21, 31, , , 
2017/7/22, 32, , , 
2017/7/23, 33, , , 
2017/7/24, 25, , , 
2017/7/25, 25, , , 
2017/7/26, 33, , , 
2017/7/27, 27, , , 
2017/7/28, 29, , , 
2017/7/29, 28, , , 
2017/7/30, 22, , , 
2017/7/31, 25, , , 
2017/8/1, 36, , , 
2017/8/2, 72, , , 
2017/8/3, 80, , , 
2017/8/4, 118, , , 
2017/8/5, 123, , , 
2017/8/6, 100, , , 
2017/8/7, 85, , , 
2017/8/8, 96, , , 
2017/8/9, 131, , , 
2017/8/10, 131, , , 
2017/8/11, 136, , , 
2017/8/12, 112, , , 
2017/8/13, 44, , , 
2017/8/14, 13, , , 
2017/8/15, 24, , , 
2017/8/16, 35, , , 
2017/8/17, 39, , , 
2017/8/18, 29, , , 
2017/8/19, 39, , , 
2017/8/20, 34, , , 
2017/8/21, 35, , , 
2017/8/22, 44, , , 
2017/8/23, 61, , , 
2017/8/24, 47, , , 
2017/8/25, 55, , , 
2017/8/26, 25, , , 
2017/8/27, 25, , , 
2017/8/28, 62, , , 
2017/8/29, 100, , , 
2017/8/30, 99, , , 
2017/8/31, 60, , , 
2017/9/1, 61, , , 
2017/9/2, 66, , , 
2017/9/3, 84, , , 
2017/9/4, 194, , , 
2017/9/5, 419, , , 
2017/9/9, 51, , , 
2017/9/10, 38, , , 
2017/9/11, 41, , , 
2017/9/12, 63, , , 
2017/9/13, 52, , , 
2017/9/14, 121, , , 
2017/9/15, 71, , , 
2017/9/16, 43, , , 
2017/9/17, 49, , , 
2017/9/18, 57, , , 
2017/9/19, 22, , , 
2017/9/20, 9, , , 
2017/9/21, 16, , , 
2017/9/22, 14, , , 
2017/9/23, 21, , , 
2017/9/24, 19, , , 
2017/9/25, 26, , , 
2017/9/26, 25, , , 
2017/9/27, 22, , , 
2017/9/28, 32, , , 
2017/9/29, 32, , , 
2017/9/30, 19, , , 
2017/4/1, 23, , , 
2017/4/2, 15, , , 
2017/4/3, 17, , , 
2017/4/4, 34, , , 
2017/4/5, 33, , , 
2017/4/6, 19, , , 
2017/4/7, 19, , , 
2017/4/8, 15, , , 
2017/4/9, 17, , , 
2017/4/10, 18, , , 
2017/4/11, 25, , , 
2017/4/12, 18, , , 
2017/4/13, 16, , , 
2017/4/14, 27, , , 
2017/4/15, 16, , , 
2017/4/16, 28, , , 
2017/4/17, 25, , , 
2017/4/18, 16, , , 
2017/4/19, 26, , , 
2017/4/20, 28, , , 
2017/4/21, 22, , , 
2017/4/22, 25, , , 
2017/4/23, 19, , , 
2017/4/24, 22, , , 
2017/4/25, 16, , , 
2017/4/26, 17, , , 
2017/4/27, 17, , , 
2017/4/28, 31, , , 
2017/4/29, 21, , , 
2017/4/30, 22, , , 
2017/5/1, 25, , , 
2017/5/2, 22, , , 
2017/5/3, 24, , , 
2017/5/4, 67, , , 
2017/5/5, 39, , , 
2017/5/6, 14, , , 
2017/5/7, 23, , , 
2017/5/8, 23, , , 
2017/5/9, 27, , , 
2017/5/10, 62, , , 
2017/5/11, 57, , , 
2017/5/12, 12, , , 
2017/5/13, 15, , , 
2017/5/14, 15, , , 
2017/5/15, 16, , , 
2017/5/16, 18, , , 
2017/5/17, 21, , , 
2017/5/18, 18, , , 
2017/5/19, 24, , , 
2017/5/20, 25, , , 
2017/5/21, 25, , , 
2017/5/22, 71, , , 
2017/5/23, 62, , , 
2017/5/24, 33, , , 
2017/5/25, 23, , , 
2017/5/26, 41, , , 
2017/5/27, 70, , , 
2017/5/28, 75, , , 
2017/5/29, 91, , , 
2017/5/30, 89, , , 
2017/5/31, 48, , , 
2017/6/1, 15, , , 
2017/6/2, 14, , , 
2017/6/3, 15, , , 
2017/6/4, 12, , , 
2017/6/5, 18, , , 
2017/6/6, 16, , , 
2017/6/7, 22, , , 
2017/6/8, 22, , , 
2017/6/9, 11, , , 
2017/6/10, 10, , , 
2017/6/11, 15, , , 
2017/6/12, 18, , , 
2017/6/13, 20, , , 
2017/6/14, 15, , , 
2017/6/15, 21, , , 
2017/6/16, 9, , , 
2017/6/17, 12, , , 
2017/6/18, 21, , , 
2017/6/19, 14, , , 
2017/6/20, 19, , , 
2017/6/21, 16, , , 
2017/6/22, 17, , , 
2017/6/23, 17, , , 
2017/6/24, 32, , , 
2017/6/25, 22, , , 
2017/6/26, 38, , , 
2017/6/27, 29, , , 
2017/6/28, 45, , , 
2017/6/29, 25, , , 
2017/6/30, 23, , , 
2017/1/2, 13, , , 
2017/1/3, 14, , , 
2017/1/4, 14, , , 
2017/1/5, 29, , , 
2017/1/6, 46, , , 
2017/1/7, 36, , , 
2017/1/8, 18, , , 
2017/1/9, 16, , , 
2017/1/10, 35, , , 
2017/1/11, 20, , , 
2017/1/12, 33, , , 
2017/1/13, 40, , , 
2017/1/14, 33, , , 
2017/1/15, 60, , , 
2017/1/16, 48, , , 
2017/1/17, 51, , , 
2017/1/18, 15, , , 
2017/1/19, 24, , , 
2017/1/20, 35, , , 
2017/1/21, 34, , , 
2017/1/22, 16, , , 
2017/1/23, 19, , , 
2017/1/24, 13, , , 
2017/1/25, 20, , , 
2017/1/26, 29, , , 
2017/1/27, 32, , , 
2017/1/28, 40, , , 
