date, pm25, pm10, o3, so2
2018/8/23, 63, 32, 56, 1
2018/8/24, 66, 27, 51, 1
2018/8/25, 63, 24, 41, 1
2018/8/26, 60, 14, 25, 2
2018/8/27, 21, 12, 25, 2
2018/8/28, 17, 13, 33, 1
2018/8/29, 20, 13, 39, 1
2018/8/30, 23, 13, 36, 1
2018/8/31, 20, 9, 26, 1
2018/9/1, 12, 6, 22, 1
2018/9/2, 12, 9, 20, 1
2018/9/3, 14, 13, 20, 1
2018/9/4, 14, 11, 25, 1
2018/9/5, 20, 14, 32, 1
2018/9/6, 23, 17, 35, 1
2018/9/7, 40, 14, 25, 1
2018/9/8, 23, 14, 16, 1
2018/9/9, 17, 9, 14, 1
2018/9/10, 9, 15, 13, 1
2018/9/11, 14, 16, 22, 1
2018/9/12, 21, 13, 16, 1
2018/9/13, 17, 17, 27, 1
2018/9/14, 28, 19, 31, 1
2018/9/15, 34, 25, 41, 1
2018/9/16, 52, 23, 43, 2
2018/9/17, 72, 34, 48, 3
2018/9/18, 74, 36, 40, 2
2018/9/19, 84, 18, 38, 2
2018/9/20, 50, 14, 19, 1
2018/9/21, 55, 12, 12, 1
2018/9/22, 137, 10, 14, 1
2018/9/24, 14, 12, 28, 1
2018/9/25, 22, 14, 18, 1
2018/9/26, 28, 13, 21, 1
2018/9/27, 15, 12, 23, 1
2018/9/28, 17, 14, 24, 1
2018/9/29, 22, 16, 17, 1
2018/9/30, 26, 20, 31, 1
2018/4/1, 23, 15, 30, 
2018/4/2, 25, 16, 26, 
2018/4/3, 25, 10, 36, 
2018/4/4, 11, 10, 32, 
2018/4/5, 17, 12, 31, 
2018/4/6, 25, 8, 29, 
2018/4/7, 8, 9, 37, 
2018/4/8, 18, 10, 34, 
2018/4/9, 21, 12, 36, 
2018/4/10, 23, 19, 40, 1
2018/4/11, 40, 20, 43, 1
2018/4/12, 28, 15, 34, 1
2018/4/13, 33, 36, 37, 1
2018/4/14, 41, 19, 42, 
2018/4/15, 13, 14, 39, 11
2018/4/16, 22, 20, 44, 
2018/4/17, 24, 26, 46, 1
2018/4/18, 31, 17, 42, 
2018/4/19, 20, 13, 42, 
2018/4/20, 20, 15, 41, 1
2018/4/21, 44, 6, 33, 
2018/4/22, 14, 12, 33, 
2018/4/23, 25, 14, 45, 
2018/4/24, 29, 22, 45, 1
2018/4/25, 45, 8, 34, 
2018/4/26, 11, 11, 44, 1
2018/4/27, 25, 18, 49, 1
2018/4/28, 33, 17, 51, 1
2018/4/29, 39, 18, 49, 1
2018/4/30, 33, 19, 42, 1
2018/5/1, 35, 19, 32, 1
2018/5/2, 39, 19, 30, 1
2018/5/3, 33, 15, 28, 1
2018/5/4, 31, 12, 38, 1
2018/5/5, 18, 15, 48, 1
2018/5/6, 31, 18, 60, 1
2018/5/7, 41, 21, 57, 2
2018/5/8, 40, 25, 51, 1
2018/5/9, 45, 22, 49, 1
2018/5/10, 43, 20, 39, 1
2018/5/11, 37, , , 
2018/5/13, 36, 13, 35, 1
2018/5/14, 21, , , 
2018/5/18, 42, 18, 36, 1
2018/5/19, 43, 10, 33, 1
2018/5/20, 25, 14, 57, 2
2018/5/21, 28, 15, 43, 2
2018/5/22, 34, 16, 43, 2
2018/5/23, 35, 13, 38, 1
2018/5/24, 27, 14, 42, 3
2018/5/25, 30, 13, 50, 2
2018/5/26, 31, 9, 39, 2
2018/5/27, 29, 7, 37, 1
2018/5/28, 26, 16, 48, 36
2018/5/29, 66, 18, 21, 2
2018/5/31, 23, 17, 34, 1
2018/6/1, 43, 19, 31, 2
2018/6/2, 53, 13, 35, 1
2018/6/3, 45, 16, 46, 1
2018/6/4, 26, 6, 49, 1
2018/6/5, 28, 7, 44, 2
2018/6/6, 31, 13, 52, 2
2018/6/7, 46, 14, 48, 2
2018/6/8, 49, 11, 44, 1
2018/6/9, 39, 78, 25, 1
2018/6/10, 32, 14, 27, 2
2018/6/11, 47, 55, 27, 1
2018/6/12, 35, 16, 33, 1
2018/6/13, 29, 13, 33, 3
2018/6/14, 33, 10, 28, 1
2018/6/15, 24, 10, 27, 1
2018/6/16, 28, 21, 23, 1
2018/6/17, 41, 25, 24, 1
2018/6/18, 48, 24, 19, 1
2018/6/19, 46, 21, 13, 1
2018/6/20, 46, 12, 37, 1
2018/6/21, 35, 25, 38, 3
2018/6/22, 52, 20, 29, 1
2018/6/23, 47, 9, 25, 
2018/6/24, 23, 16, 23, 
2018/6/25, 33, 14, 23, 
2018/6/26, 28, 11, 26, 
2018/6/27, 29, 13, 20, 
2018/6/28, 28, , 27, 1
2018/6/29, 40, , 22, 
2018/6/30, 81, , 23, 
2018/1/1, 9, 5, 25, 1
2018/1/2, 4, 14, 24, 1
2018/1/3, 19, 17, 29, 1
2018/1/4, 23, 21, 28, 2
2018/1/5, 37, 17, 32, 2
2018/1/6, 35, 13, 23, 
2018/1/7, 24, 4, 18, 
2018/1/8, 10, 4, 21, 
2018/1/9, 7, 6, 13, 
2018/1/10, 11, 6, 23, 
