date, pm25, pm10, so2, co
2018/1/30, 27, 16, , 4
2018/1/31, 42, 14, , 4
2018/2/1, 24, 17, , 4
2018/2/2, 31, 19, , 4
2018/2/3, 31, 15, , 4
2018/2/4, 25, 8, , 4
2018/2/5, 23, 8, , 4
2018/2/6, 22, 9, , 4
2018/2/7, 25, 16, , 4
2018/2/8, 25, 19, , 4
2018/2/9, 31, 18, , 3
2018/2/10, 29, 5, , 4
2018/2/11, 23, 9, , 4
2018/2/12, 27, 18, , 5
2018/2/13, 47, 9, , 4
2018/2/14, 23, 8, 1, 4
2018/2/15, 32, 9, , 5
2018/2/16, 31, 7, , 4
2018/2/17, 27, 5, , 4
2018/2/18, 15, 8, , 4
2018/2/19, 34, 9, , 4
2018/2/20, 19, 12, , 5
2018/2/21, 40, 11, , 5
2018/2/22, 25, 14, , 4
2018/2/23, 30, 15, , 4
2018/2/24, 27, 15, , 4
2018/2/25, 31, 16, , 4
2018/2/26, 32, 27, , 4
2018/2/27, 43, 24, , 4
2018/2/28, 40, 20, , 4
2018/3/1, 38, 14, , 4
2018/3/2, 24, 14, , 4
2018/3/3, 26, 16, , 4
2018/3/4, 33, 13, , 3
2018/3/5, 24, 14, , 4
2018/3/6, 23, 8, , 4
2018/3/7, 16, 10, , 4
2018/3/8, 24, 13, , 3
2018/3/9, 28, 11, , 3
2018/3/10, 22, 14, , 3
2018/3/11, 29, 11, , 4
2018/3/12, 23, 9, , 4
2018/3/13, 22, 14, , 5
2018/3/14, 30, 13, 3, 5
2018/3/15, 40, 9, 1, 5
2018/3/16, 32, 3, , 4
2018/3/17, 23, 3, , 4
2018/3/18, 21, 8, , 4
2018/3/19, 28, 14, , 5
2017/10/1, 53, 6, , 6
2017/10/2, 39, 6, , 5
2017/10/3, 12, , , 5
2017/10/4, 12, 9, , 5
2017/10/5, 14, 11, , 5
2017/10/6, 21, 12, , 6
2017/10/7, 25, 8, , 6
2017/10/8, 18, 5, , 5
2017/10/9, 15, 3, , 6
2017/10/10, 9, 6, , 6
2017/10/11, 15, 5, , 6
2017/10/12, 11, 10, , 5
2017/10/13, 20, 10, , 5
2017/10/14, 16, 15, , 
2017/10/15, 24, 16, , 5
2017/10/16, 27, 17, , 5
2017/10/17, 28, 14, , 5
2017/10/18, 23, 13, , 5
2017/10/19, 16, 10, , 4
2017/10/20, 17, 13, , 3
2017/10/21, 15, 9, , 3
2017/10/22, 19, 13, , 5
2017/10/23, 30, 12, 1, 4
2017/10/24, 20, 12, , 4
2017/10/25, 15, 10, , 5
2017/10/26, 15, 7, , 4
2017/10/27, 12, 6, , 4
2017/10/28, 11, 4, , 4
2017/10/30, 42, 5, , 4
2017/10/31, 18, , , 4
2017/11/1, 35, 19, 1, 5
2017/11/2, 44, 10, , 4
2017/11/3, 38, 7, , 4
2017/11/4, 26, 12, , 3
2017/11/5, 23, 14, , 4
2017/11/6, 31, 7, , 5
2017/11/7, 24, 6, , 4
2017/11/8, 25, 6, , 4
2017/11/9, 20, 4, , 4
2017/11/10, 24, 4, , 4
2017/11/11, 13, 7, , 4
2017/11/12, 26, 5, , 4
2017/11/13, 17, 7, , 4
2017/11/14, 15, 13, , 4
2017/11/15, 14, 15, , 4
2017/11/16, 22, 8, , 5
2017/11/17, 18, 7, , 5
2017/11/18, 25, 11, , 4
2017/11/19, 25, 12, , 5
2017/11/20, 29, 10, , 5
2017/11/21, 20, 14, , 5
2017/11/22, 34, 15, , 4
2017/11/23, 29, 9, , 4
2017/11/24, 16, 8, , 4
2017/11/25, 16, 13, , 4
2017/11/26, 26, 13, , 5
2017/11/27, 26, 11, , 5
2017/11/28, 22, 10, , 5
2017/11/29, 26, 11, , 5
2017/11/30, 24, 8, , 5
2017/12/1, 24, 14, , 5
2017/12/2, 24, 21, , 4
2017/12/3, 36, 15, , 5
2017/12/4, 26, 23, , 3
2017/12/5, 22, 23, , 4
2017/12/6, 36, 13, , 4
2017/12/7, 32, 9, , 5
2017/12/8, 31, 6, 1, 4
